osmid,y,x,highway,ref,street_count,railway,geometry
123484307,34.0704129,-118.20248,,,3,,POINT (-118.20248 34.0704129)
123484309,34.072038,-118.202512,,,3,,POINT (-118.202512 34.072038)
123488785,34.0278288,-118.2137821,,,4,,POINT (-118.2137821 34.0278288)
123489536,34.0492545,-118.2133055,,,3,,POINT (-118.2133055 34.0492545)
123489543,34.0446239,-118.2028485,,,3,,POINT (-118.2028485 34.0446239)
123489548,34.0440903,-118.201635,,,3,,POINT (-118.201635 34.0440903)
123490615,34.0424683,-118.2218337,,,3,,POINT (-118.2218337 34.0424683)
123490619,34.0424518,-118.2213607,turning_circle,,1,,POINT (-118.2213607 34.0424518)
123490642,34.0349212,-118.2012683,,,1,,POINT (-118.2012683 34.0349212)
123490646,34.0347056,-118.2007757,,,3,,POINT (-118.2007757 34.0347056)
123490711,34.0674496,-118.2214393,,,3,,POINT (-118.2214393 34.0674496)
123497033,34.0785327,-118.2094632,,,3,,POINT (-118.2094632 34.0785327)
123509493,34.0727387,-118.25972,traffic_signals,,3,,POINT (-118.25972 34.0727387)
123510578,34.0087802,-118.2182953,,,2,,POINT (-118.2182953 34.0087802)
123520103,34.0629519,-118.272679,traffic_signals,,4,,POINT (-118.272679 34.0629519)
123520895,34.0791675,-118.2518418,turning_circle,,1,,POINT (-118.2518418 34.0791675)
123525064,34.0720357,-118.2591803,turning_circle,,1,,POINT (-118.2591803 34.0720357)
123525604,34.0391856,-118.2328138,stop,,3,,POINT (-118.2328138 34.0391856)
123525610,34.0382614,-118.2326975,traffic_signals,,4,,POINT (-118.2326975 34.0382614)
123525621,34.0314658,-118.232255,,,4,,POINT (-118.232255 34.0314658)
123525624,34.0305618,-118.2322348,,,4,,POINT (-118.2322348 34.0305618)
123525650,34.0249903,-118.2322746,turning_circle,,1,,POINT (-118.2322746 34.0249903)
123529878,34.0491602,-118.2324237,stop,,4,,POINT (-118.2324237 34.0491602)
123531804,34.0468103,-118.2718085,stop,,4,,POINT (-118.2718085 34.0468103)
123531807,34.0473845,-118.2730694,,,3,,POINT (-118.2730694 34.0473845)
123533745,34.0067722,-118.2474043,,,3,,POINT (-118.2474043 34.0067722)
123533751,34.007548,-118.2543732,,,1,,POINT (-118.2543732 34.007548)
123533764,34.0075678,-118.252148,,,3,,POINT (-118.252148 34.0075678)
123533768,34.007214,-118.249606,,,3,,POINT (-118.249606 34.007214)
123534753,34.0228308,-118.2009434,,,4,,POINT (-118.2009434 34.0228308)
123536149,34.0088957,-118.2494274,,,3,,POINT (-118.2494274 34.0088957)
123537820,34.0471652,-118.2370894,,,3,,POINT (-118.2370894 34.0471652)
123538525,34.0440283,-118.2143383,,,4,,POINT (-118.2143383 34.0440283)
123538530,34.0390833,-118.2173621,,,3,,POINT (-118.2173621 34.0390833)
123538773,34.0575485,-118.2598179,traffic_signals,,4,,POINT (-118.2598179 34.0575485)
123538776,34.0549111,-118.2614402,,,3,,POINT (-118.2614402 34.0549111)
123538795,34.0596525,-118.2574081,,,3,,POINT (-118.2574081 34.0596525)
123543330,34.0583888,-118.2686883,turning_circle,,1,,POINT (-118.2686883 34.0583888)
123546084,34.0327402,-118.2647524,traffic_signals,,4,,POINT (-118.2647524 34.0327402)
123546144,34.0418371,-118.2841289,,,4,,POINT (-118.2841289 34.0418371)
123546849,34.0150764,-118.2443399,,,3,,POINT (-118.2443399 34.0150764)
123546852,34.0146698,-118.2445352,,,3,,POINT (-118.2445352 34.0146698)
123546858,34.0143621,-118.2446932,,,3,,POINT (-118.2446932 34.0143621)
123546866,34.0137469,-118.2449891,,,3,,POINT (-118.2449891 34.0137469)
123548609,34.0355346,-118.2624692,,,4,,POINT (-118.2624692 34.0355346)
123548656,34.0417218,-118.2750234,,,4,,POINT (-118.2750234 34.0417218)
123548659,34.0421101,-118.275884,,,3,,POINT (-118.275884 34.0421101)
123548675,34.0462498,-118.2863936,,,3,,POINT (-118.2863936 34.0462498)
123548708,34.0425557,-118.2769104,,,3,,POINT (-118.2769104 34.0425557)
123548712,34.0448169,-118.2819196,,,4,,POINT (-118.2819196 34.0448169)
123562048,34.027192,-118.2118144,,,3,,POINT (-118.2118144 34.027192)
123562096,34.070946,-118.247254,,,1,,POINT (-118.247254 34.070946)
123566927,34.0165249,-118.2058378,,,4,,POINT (-118.2058378 34.0165249)
123567367,34.0279972,-118.2420587,,,3,,POINT (-118.2420587 34.0279972)
123567374,34.0235025,-118.2448001,traffic_signals,,4,,POINT (-118.2448001 34.0235025)
123567376,34.0218997,-118.246041,,,4,,POINT (-118.246041 34.0218997)
123567383,34.0189082,-118.2480979,stop,,4,,POINT (-118.2480979 34.0189082)
123567388,34.0180763,-118.2488138,stop,,4,,POINT (-118.2488138 34.0180763)
123567390,34.0173684,-118.2494584,,,4,,POINT (-118.2494584 34.0173684)
123567393,34.0165791,-118.2501509,traffic_signals,,4,,POINT (-118.2501509 34.0165791)
123567399,34.0136994,-118.2521527,,,3,,POINT (-118.2521527 34.0136994)
123567402,34.0132303,-118.2521427,traffic_signals,,3,,POINT (-118.2521427 34.0132303)
123567406,34.0112016,-118.2521449,,,3,,POINT (-118.2521449 34.0112016)
123567409,34.0092628,-118.2521523,traffic_signals,,4,,POINT (-118.2521523 34.0092628)
123567754,34.0598904,-118.2655413,traffic_signals,,4,,POINT (-118.2655413 34.0598904)
123567758,34.0605738,-118.2647688,,,4,,POINT (-118.2647688 34.0605738)
123567761,34.0612902,-118.2637054,,,3,,POINT (-118.2637054 34.0612902)
123569565,34.026086,-118.2067945,,,1,,POINT (-118.2067945 34.026086)
123569587,34.025515,-118.2071569,turning_circle,,1,,POINT (-118.2071569 34.025515)
123569591,34.0248295,-118.2075712,,,4,,POINT (-118.2075712 34.0248295)
123569597,34.0160175,-118.2082777,,,3,,POINT (-118.2082777 34.0160175)
123569606,34.013949,-118.207604,,,4,,POINT (-118.207604 34.013949)
123571143,34.0089648,-118.2369541,,,4,,POINT (-118.2369541 34.0089648)
123571454,34.0168079,-118.2428983,,,3,,POINT (-118.2428983 34.0168079)
123571459,34.0159755,-118.2428897,,,3,,POINT (-118.2428897 34.0159755)
123571464,34.0098925,-118.2429584,,,3,,POINT (-118.2429584 34.0098925)
123571467,34.0080965,-118.2429916,traffic_signals,,4,,POINT (-118.2429916 34.0080965)
123571748,34.0141138,-118.2769934,,,4,,POINT (-118.2769934 34.0141138)
123578931,34.0790338,-118.2227091,,,1,,POINT (-118.2227091 34.0790338)
123580668,34.0423637,-118.2106349,,,3,,POINT (-118.2106349 34.0423637)
123580670,34.0421468,-118.2107736,,,3,,POINT (-118.2107736 34.0421468)
123580673,34.0374491,-118.2137451,traffic_signals,,4,,POINT (-118.2137451 34.0374491)
123580677,34.0209938,-118.2201843,,,3,,POINT (-118.2201843 34.0209938)
123580706,34.0088965,-118.2198159,traffic_signals,,4,,POINT (-118.2198159 34.0088965)
123590552,34.0174558,-118.2455523,,,4,,POINT (-118.2455523 34.0174558)
123590554,34.0166661,-118.2462733,stop,,4,,POINT (-118.2462733 34.0166661)
123590558,34.0159191,-118.2466338,,,3,,POINT (-118.2466338 34.0159191)
123590563,34.0157056,-118.2467282,,,3,,POINT (-118.2467282 34.0157056)
123590567,34.015044,-118.2471402,traffic_signals,,4,,POINT (-118.2471402 34.015044)
123590577,34.012404,-118.2487002,,,3,,POINT (-118.2487002 34.012404)
123590582,34.012038,-118.2489066,,,3,,POINT (-118.2489066 34.012038)
123590585,34.0112495,-118.2493649,,,3,,POINT (-118.2493649 34.0112495)
123590593,34.0090664,-118.2506528,stop,,3,,POINT (-118.2506528 34.0090664)
123590730,34.0239437,-118.2432864,,,1,,POINT (-118.2432864 34.0239437)
123592361,34.0392855,-118.204337,stop,,3,,POINT (-118.204337 34.0392855)
123602596,34.0463668,-118.2721287,traffic_signals,,4,,POINT (-118.2721287 34.0463668)
123602599,34.0433198,-118.2739912,traffic_signals,,4,,POINT (-118.2739912 34.0433198)
123607540,34.0110435,-118.2618092,,,4,,POINT (-118.2618092 34.0110435)
123607546,34.0193431,-118.2562836,,,3,,POINT (-118.2562836 34.0193431)
123607549,34.0165391,-118.2580619,,,3,,POINT (-118.2580619 34.0165391)
123608117,34.0300915,-118.2203387,,,3,,POINT (-118.2203387 34.0300915)
123611327,34.0399961,-118.2059606,,,3,,POINT (-118.2059606 34.0399961)
123611441,34.0384391,-118.2022563,,,3,,POINT (-118.2022563 34.0384391)
123611452,34.0471591,-118.2381074,traffic_signals,,4,,POINT (-118.2381074 34.0471591)
123611456,34.0471674,-118.2351568,,,3,,POINT (-118.2351568 34.0471674)
123611485,34.0445658,-118.2155605,,,3,,POINT (-118.2155605 34.0445658)
123611495,34.0467205,-118.2259694,turning_circle,,1,,POINT (-118.2259694 34.0467205)
123614149,34.0092516,-118.2529452,,,3,,POINT (-118.2529452 34.0092516)
123614155,34.0081068,-118.2433265,traffic_signals,,4,,POINT (-118.2433265 34.0081068)
123619205,34.0693798,-118.2251958,,,1,,POINT (-118.2251958 34.0693798)
123622113,34.0735556,-118.2713158,turning_circle,,1,,POINT (-118.2713158 34.0735556)
123622126,34.0741931,-118.2709051,turning_circle,,1,,POINT (-118.2709051 34.0741931)
123633600,34.0702235,-118.2090261,stop,,4,,POINT (-118.2090261 34.0702235)
123633742,34.0305602,-118.2278026,,,1,,POINT (-118.2278026 34.0305602)
123637708,34.0651471,-118.2407355,,,3,,POINT (-118.2407355 34.0651471)
123638932,34.0684913,-118.223009,,,3,,POINT (-118.223009 34.0684913)
123639143,34.0691644,-118.222339,stop,,4,,POINT (-118.222339 34.0691644)
123639144,34.067724,-118.2214716,,,4,,POINT (-118.2214716 34.067724)
123639532,34.0696937,-118.2212148,,,4,,POINT (-118.2212148 34.0696937)
123639537,34.068211,-118.220306,,,3,,POINT (-118.220306 34.068211)
123639583,34.0224393,-118.263287,traffic_signals,,4,,POINT (-118.263287 34.0224393)
123639586,34.0207573,-118.2594469,traffic_signals,,4,,POINT (-118.2594469 34.0207573)
123639601,34.0132054,-118.2432436,,,3,,POINT (-118.2432436 34.0132054)
123639634,34.0701923,-118.2200637,,,4,,POINT (-118.2200637 34.0701923)
123645294,34.0760078,-118.2760332,,,1,,POINT (-118.2760332 34.0760078)
123645359,34.0784617,-118.2856169,turning_circle,,1,,POINT (-118.2856169 34.0784617)
123646227,34.0587357,-118.2862132,,,3,,POINT (-118.2862132 34.0587357)
123646232,34.0587106,-118.2869012,,,3,,POINT (-118.2869012 34.0587106)
123652129,34.0407589,-118.2428547,,,4,,POINT (-118.2428547 34.0407589)
123652215,34.0240493,-118.2572922,,,4,,POINT (-118.2572922 34.0240493)
