u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,access,ref,tunnel,bridge,width,junction,Groups
42435931,42433554,0,"[895349521, 1298186396, 1298186397, 1298186398]",secondary,2,25 mph,Samuel Dickstein Plaza,False,False,84.0111231426367,"LINESTRING (-73.9850499 40.7138032, -73.9850386 40.7138444, -73.9850273 40.7138855, -73.9850075 40.7139592, -73.9849722 40.7140522, -73.9849439 40.7141154, -73.9848916 40.7142147, -73.9848547 40.7142776, -73.9848401 40.7143025, -73.984765 40.7144207, -73.9847081 40.7145093)",84.0111231426367,1.8403427819998743,0.0016294660047371,,,,,,,B
42436014,4629486879,0,468414628,trunk_link,1,20 mph,,True,False,31.53511129728639,"LINESTRING (-74.0080024 40.7233194, -74.0078701 40.7234404, -74.0078223 40.7234693, -74.0077224 40.7234955)",733.6922767825275,19.926534573605007,0.0009374125394687,,,,,,,A
42436014,4142105822,0,1007629839,trunk,4,20 mph,Hudson Street,True,False,38.21404341998899,"LINESTRING (-74.0080024 40.7233194, -74.0079636 40.7235966, -74.0079501 40.7236607)",599.6833745259568,17.03555858404943,0.0056861084970782,,,,,,,A
42436017,42436021,0,5670418,residential,1,20 mph,Desbrosses Street,True,False,68.16577882796139,"LINESTRING (-74.0095377 40.7234406, -74.0096352 40.7234506, -74.0103393 40.7235227)",215.378977298515,5.420226358306295,0.0008944453523121,,,,,,,C
42436017,42436069,0,607091411,residential,1,20 mph,Greenwich Street,True,False,72.47483021380714,"LINESTRING (-74.0095377 40.7234406, -74.0095486 40.7233783, -74.009641 40.7228516, -74.009651 40.7227945)",331.9398904743592,4.6947704036988025,0.0027987369994909,,,,,,,C
42436021,42436024,0,"[5670418, 1254361806]",residential,1,20 mph,Desbrosses Street,True,False,88.13492594445864,"LINESTRING (-74.0103393 40.7235227, -74.0108606 40.7235761, -74.0109805 40.7235883, -74.0111627 40.723607, -74.0111849 40.7236095, -74.0112316 40.7236145, -74.0113755 40.7236301)",368.9212108037685,8.45567905123575,0.0006965145393447,,,,,,,C
42436021,42445171,0,22927462,residential,1,20 mph,Washington Street,True,False,73.10645767376118,"LINESTRING (-74.0103393 40.7235227, -74.0102385 40.7241011, -74.0102257 40.7241745)",210.4382984527152,5.387191952768678,0.0005129061220963,,,,,,,C
42436024,42445174,0,1362576631,trunk,4,30 mph,West Street,True,False,72.6653766745703,"LINESTRING (-74.0113755 40.7236301, -74.0112521 40.7241901, -74.0112354 40.7242749)",384.3907600736569,8.51624984776501,0.0052449317502624,,NY 9A,,,,,A
42436050,42430519,0,556311124,residential,1,20 mph,Greenwich Street,True,False,73.24093649086221,"LINESTRING (-74.0104803 40.7181146, -74.0104959 40.7180433, -74.0105203 40.7179299, -74.0105258 40.7179065, -74.0106177 40.7175193, -74.0106308 40.7174659)",773.3832887381748,10.201789556519715,0.0008349252323984,,,,,,,C
42436050,42436326,0,"[5673441, 1235099830]",residential,1,20 mph,Jay Street,True,False,131.3798185007422,"LINESTRING (-74.0104803 40.7181146, -74.0104033 40.7181048, -74.0103765 40.7181014, -74.0094928 40.7179989, -74.0090618 40.7179488, -74.0089396 40.7179347)",584.263296097183,14.545722095733916,0.0003642232189983,,,,,,,C
42436055,5812723035,0,556311124,residential,1,20 mph,Greenwich Street,True,False,71.63283117762936,"LINESTRING (-74.0102398 40.7194445, -74.0102503 40.7193823, -74.0103385 40.7188787, -74.0103517 40.7188059)",486.1449354881673,9.855726100897208,0.001592603445264,,,,,,,C
