osmid,y,x,street_count,highway,ref,junction,geometry
122242842,37.666255,-97.326366,4,,,,POINT (-97.326366 37.666255)
122242847,37.662562,-97.326369,4,,,,POINT (-97.326369 37.662562)
122242850,37.660747,-97.326359,4,,,,POINT (-97.326359 37.660747)
122242856,37.658932,-97.326348,4,,,,POINT (-97.326348 37.658932)
122242859,37.657098,-97.326353,4,traffic_signals,,,POINT (-97.326353 37.657098)
122242861,37.655286,-97.326348,4,,,,POINT (-97.326348 37.655286)
122242864,37.65347,-97.326346,4,,,,POINT (-97.326346 37.65347)
122242869,37.65165,-97.326346,4,,,,POINT (-97.326346 37.65165)
122242877,37.6498064,-97.326347,4,traffic_signals,,,POINT (-97.326347 37.6498064)
122244619,37.6867407,-97.3531335,3,,,,POINT (-97.3531335 37.6867407)
122244621,37.6867416,-97.3542257,3,,,,POINT (-97.3542257 37.6867416)
122244961,37.6571447,-97.3197629,4,traffic_signals,,,POINT (-97.3197629 37.6571447)
122244965,37.65716,-97.318436,4,,,,POINT (-97.318436 37.65716)
122244969,37.657171,-97.317132,4,traffic_signals,,,POINT (-97.317132 37.657171)
122244974,37.657175,-97.3157921,4,,,,POINT (-97.3157921 37.657175)
122244992,37.657227,-97.309234,4,,,,POINT (-97.309234 37.657227)
122244993,37.657236,-97.307986,4,,,,POINT (-97.307986 37.657236)
122244996,37.657257,-97.3057,3,,,,POINT (-97.3057 37.657257)
122244999,37.657261,-97.304959,3,,,,POINT (-97.304959 37.657261)
122245001,37.657263,-97.304594,3,,,,POINT (-97.304594 37.657263)
122245005,37.657283,-97.301252,4,,,,POINT (-97.301252 37.657283)
122245006,37.657289,-97.300041,3,,,,POINT (-97.300041 37.657289)
122245008,37.657296,-97.298795,4,,,,POINT (-97.298795 37.657296)
122245011,37.657315,-97.295565,4,,,,POINT (-97.295565 37.657315)
122245014,37.657316,-97.294206,3,,,,POINT (-97.294206 37.657316)
122245017,37.657318,-97.293476,3,,,,POINT (-97.293476 37.657318)
122245023,37.657323,-97.291932,3,,,,POINT (-97.291932 37.657323)
122245027,37.657323,-97.291645,3,,,,POINT (-97.291645 37.657323)
122245030,37.657335,-97.289613,4,,,,POINT (-97.289613 37.657335)
122245037,37.657365,-97.285003,4,,,,POINT (-97.285003 37.657365)
122245144,37.657002,-97.338099,4,,,,POINT (-97.338099 37.657002)
122245150,37.65701,-97.336775,4,,,,POINT (-97.336775 37.65701)
122245154,37.6570034,-97.3355357,4,traffic_signals,,,POINT (-97.3355357 37.6570034)
122245158,37.65705,-97.33289,4,,,,POINT (-97.33289 37.65705)
122245162,37.657068,-97.330258,4,,,,POINT (-97.330258 37.657068)
122245175,37.657088,-97.327631,4,,,,POINT (-97.327631 37.657088)
122245177,37.657109,-97.325094,4,,,,POINT (-97.325094 37.657109)
122245181,37.657121,-97.323853,4,,,,POINT (-97.323853 37.657121)
122245184,37.657128,-97.322737,3,,,,POINT (-97.322737 37.657128)
122245191,37.657129,-97.322631,3,,,,POINT (-97.322631 37.657129)
122245193,37.657136,-97.321609,3,,,,POINT (-97.321609 37.657136)
122245200,37.657137,-97.321481,3,,,,POINT (-97.321481 37.657137)
122245203,37.657144,-97.320503,3,,,,POINT (-97.320503 37.657144)
122245214,37.6633517,-97.3516623,1,turning_circle,,,POINT (-97.3516623 37.6633517)
122245224,37.662869,-97.352769,3,,,,POINT (-97.352769 37.662869)
122246252,37.6878342,-97.346988,4,traffic_signals,,,POINT (-97.346988 37.6878342)
122247707,37.6463074,-97.313259,3,,,,POINT (-97.313259 37.6463074)
122248346,37.667939,-97.338105,4,,,,POINT (-97.338105 37.667939)
122248349,37.66794,-97.3394,4,,,,POINT (-97.3394 37.66794)
122248352,37.66792,-97.340687,4,,,,POINT (-97.340687 37.66792)
122248357,37.667906,-97.341979,4,,,,POINT (-97.341979 37.667906)
122248361,37.6679111,-97.3432356,4,,,,POINT (-97.3432356 37.6679111)
122248365,37.6679203,-97.3441705,1,,,,POINT (-97.3441705 37.6679203)
122248385,37.691899,-97.312697,1,,,,POINT (-97.312697 37.691899)
122248391,37.695323,-97.312729,3,,,,POINT (-97.312729 37.695323)
122248399,37.697671,-97.312751,4,,,,POINT (-97.312751 37.697671)
122248401,37.698441,-97.312738,3,,,,POINT (-97.312738 37.698441)
122248407,37.700044,-97.312738,3,,,,POINT (-97.312738 37.700044)
122248410,37.700867,-97.312744,4,,,,POINT (-97.312744 37.700867)
122248415,37.702679,-97.31273,4,,,,POINT (-97.31273 37.702679)
122248418,37.703643,-97.312742,3,,,,POINT (-97.312742 37.703643)
122248419,37.704491,-97.31276,4,,,,POINT (-97.31276 37.704491)
122248422,37.70632,-97.312768,4,,,,POINT (-97.312768 37.70632)
122248424,37.7080856,-97.3127727,4,,,,POINT (-97.3127727 37.7080856)
122248426,37.709951,-97.312751,4,,,,POINT (-97.312751 37.709951)
122248431,37.711773,-97.312752,4,,,,POINT (-97.312752 37.711773)
122248432,37.713615,-97.312757,4,,,,POINT (-97.312757 37.713615)
122248437,37.7154174,-97.3127561,4,,,,POINT (-97.3127561 37.7154174)
122248440,37.717261,-97.312754,4,,,,POINT (-97.312754 37.717261)
122248442,37.720875,-97.312754,3,,,,POINT (-97.312754 37.720875)
122248444,37.722689,-97.312753,3,,,,POINT (-97.312753 37.722689)
122248454,37.689948,-97.312706,3,,,,POINT (-97.312706 37.689948)
122248714,37.689392,-97.362716,3,,,,POINT (-97.362716 37.689392)
122248724,37.6915186,-97.362745,1,,,,POINT (-97.362745 37.6915186)
122248794,37.712315,-97.379003,4,,,,POINT (-97.379003 37.712315)
122249575,37.702909,-97.349575,3,,,,POINT (-97.349575 37.702909)
122249578,37.704347,-97.349583,4,,,,POINT (-97.349583 37.704347)
122249582,37.705463,-97.349591,3,,,,POINT (-97.349591 37.705463)
122249594,37.7155662,-97.2916231,3,,,,POINT (-97.2916231 37.7155662)
122249605,37.716261,-97.291399,1,,,,POINT (-97.291399 37.716261)
122249634,37.710936,-97.291304,3,,,,POINT (-97.291304 37.710936)
122249642,37.711979,-97.291644,3,,,,POINT (-97.291644 37.711979)
122249965,37.655996,-97.370945,4,,,,POINT (-97.370945 37.655996)
122250677,37.689823,-97.3264334,4,traffic_signals,,,POINT (-97.3264334 37.689823)
122250679,37.691673,-97.32644,4,,,,POINT (-97.32644 37.691673)
122250701,37.6975844,-97.3265456,4,traffic_signals,,,POINT (-97.3265456 37.6975844)
122250712,37.7007954,-97.326433,4,,,,POINT (-97.326433 37.7007954)
122250719,37.7026204,-97.3264249,4,,,,POINT (-97.3264249 37.7026204)
122250721,37.704463,-97.326454,4,,,,POINT (-97.326454 37.704463)
122250726,37.706193,-97.326417,3,,,,POINT (-97.326417 37.706193)
122250727,37.706244,-97.326415,3,,,,POINT (-97.326415 37.706244)
