osmid,y,x,street_count,highway,ref,railway,geometry
7127685121,40.7686848,-111.9197013,1,,,,POINT (-111.9197013 40.7686848)
7132405423,40.7502319,-111.8595002,3,,,,POINT (-111.8595002 40.7502319)
7139353023,40.7451596,-111.8996647,3,,,,POINT (-111.8996647 40.7451596)
7232724055,40.7825094,-111.9050061,1,,,,POINT (-111.9050061 40.7825094)
7262354935,40.7805281,-111.8899382,4,,,,POINT (-111.8899382 40.7805281)
7262354938,40.7801188,-111.889946,3,,,,POINT (-111.889946 40.7801188)
7271357888,40.7750936,-111.8944294,1,,,,POINT (-111.8944294 40.7750936)
7271357889,40.7748241,-111.894343,3,,,,POINT (-111.894343 40.7748241)
7271357908,40.7748489,-111.892341,1,,,,POINT (-111.892341 40.7748489)
7271357910,40.774971,-111.8919335,3,,,,POINT (-111.8919335 40.774971)
7299884666,40.7925137,-111.941729,1,,,,POINT (-111.941729 40.7925137)
7299887542,40.7933788,-111.9415443,3,,,,POINT (-111.9415443 40.7933788)
7308245515,40.7261977,-111.853896,3,,,,POINT (-111.853896 40.7261977)
7309258166,40.7866286,-111.9444833,3,,,,POINT (-111.9444833 40.7866286)
7390029636,40.7918469,-111.9419772,1,turning_circle,,,POINT (-111.9419772 40.7918469)
7489014043,40.7709875,-111.9050545,1,,,,POINT (-111.9050545 40.7709875)
7498604407,40.7727889,-111.9392939,3,,,,POINT (-111.9392939 40.7727889)
7498604409,40.770389,-111.939349,3,,,,POINT (-111.939349 40.770389)
7498604418,40.7716368,-111.9393549,4,,,,POINT (-111.9393549 40.7716368)
7498604424,40.7714307,-111.9393634,4,,,,POINT (-111.9393634 40.7714307)
7498615473,40.7526646,-111.9390012,3,,,,POINT (-111.9390012 40.7526646)
7498641785,40.7512535,-111.9390777,4,,,,POINT (-111.9390777 40.7512535)
7613341677,40.7502172,-111.938963,3,,,,POINT (-111.938963 40.7502172)
7663778914,40.7437636,-111.8883146,3,,,,POINT (-111.8883146 40.7437636)
7663778915,40.7437636,-111.8881257,3,,,,POINT (-111.8881257 40.7437636)
7719583253,40.7463005,-111.8712579,3,,,,POINT (-111.8712579 40.7463005)
7731442242,40.7867757,-111.8992183,3,,,,POINT (-111.8992183 40.7867757)
7734027649,40.7693708,-111.8685869,3,traffic_signals,,,POINT (-111.8685869 40.7693708)
7741193275,40.7670978,-111.8939577,3,traffic_signals,,,POINT (-111.8939577 40.7670978)
7790639883,40.7302324,-111.9153253,1,,,,POINT (-111.9153253 40.7302324)
8057489664,40.7824287,-111.928548,4,crossing,,,POINT (-111.928548 40.7824287)
8072760948,40.725482,-111.853764,4,,,,POINT (-111.853764 40.725482)
8072760974,40.7255899,-111.8521839,3,,,,POINT (-111.8521839 40.7255899)
8072760981,40.7253522,-111.853911,4,,,,POINT (-111.853911 40.7253522)
8072760982,40.7253458,-111.853753,4,,,,POINT (-111.853753 40.7253458)
8072761012,40.7585753,-111.8538011,4,traffic_signals,,,POINT (-111.8538011 40.7585753)
8072761015,40.758386,-111.8538007,4,traffic_signals,,,POINT (-111.8538007 40.758386)
8073179830,40.7498155,-111.8588203,3,,,,POINT (-111.8588203 40.7498155)
8073179882,40.7819188,-111.8816127,3,,,,POINT (-111.8816127 40.7819188)
8073179886,40.7821776,-111.8819483,3,,,,POINT (-111.8819483 40.7821776)
8150419509,40.7254164,-111.899931,3,crossing,,,POINT (-111.899931 40.7254164)
8192063235,40.7671612,-111.9141855,3,crossing,,,POINT (-111.9141855 40.7671612)
8195609516,40.7812923,-111.8922033,4,,,,POINT (-111.8922033 40.7812923)
8294970900,40.744924,-111.8712522,3,,,,POINT (-111.8712522 40.744924)
8295005102,40.7367347,-111.8712516,3,,,,POINT (-111.8712516 40.7367347)
8295005103,40.7363103,-111.8712466,3,,,,POINT (-111.8712466 40.7363103)
8366005295,40.741619,-111.9019813,3,,,,POINT (-111.9019813 40.741619)
8366005298,40.7415386,-111.9025737,4,,,,POINT (-111.9025737 40.7415386)
8366005301,40.7415834,-111.9018668,3,,,,POINT (-111.9018668 40.7415834)
8496704783,40.762786,-111.9407326,1,,,,POINT (-111.9407326 40.762786)
8502326451,40.7460523,-111.9027833,1,,,,POINT (-111.9027833 40.7460523)
8585011788,40.7584376,-111.9530961,1,,,,POINT (-111.9530961 40.7584376)
8585178378,40.7461769,-111.9377196,1,,,,POINT (-111.9377196 40.7461769)
8674189353,40.7563062,-111.88709,3,,,,POINT (-111.88709 40.7563062)
8984353892,40.7889153,-111.8615448,1,,,,POINT (-111.8615448 40.7889153)
9033512314,40.7650016,-111.852339,3,,,,POINT (-111.852339 40.7650016)
9036520702,40.7448825,-111.8996021,3,,,,POINT (-111.8996021 40.7448825)
9036520713,40.7446027,-111.89973,3,,,,POINT (-111.89973 40.7446027)
9249073228,40.7657422,-111.9351873,3,,,,POINT (-111.9351873 40.7657422)
9251850208,40.7823798,-111.9149826,3,,,,POINT (-111.9149826 40.7823798)
9251870452,40.7824431,-111.9088312,4,,,,POINT (-111.9088312 40.7824431)
9251870459,40.7823908,-111.9110112,4,,,,POINT (-111.9110112 40.7823908)
9251870469,40.7824551,-111.9108085,6,,,,POINT (-111.9108085 40.7824551)
9251870493,40.7823066,-111.9107467,4,,,,POINT (-111.9107467 40.7823066)
9251870515,40.7823577,-111.9105452,4,,,,POINT (-111.9105452 40.7823577)
9251870518,40.7822939,-111.9107807,4,,,,POINT (-111.9107807 40.7822939)
9251870520,40.7824331,-111.9139925,4,,,,POINT (-111.9139925 40.7824331)
9251870522,40.7823191,-111.9034134,3,,,,POINT (-111.9034134 40.7823191)
9251870527,40.782146,-111.9025493,3,,,,POINT (-111.9025493 40.782146)
9257839215,40.746834,-111.8996708,3,,,,POINT (-111.8996708 40.746834)
9399850627,40.7465408,-111.939005,3,,,,POINT (-111.939005 40.7465408)
9421228825,40.7736881,-111.896677,3,,,,POINT (-111.896677 40.7736881)
9421228826,40.7737563,-111.8967509,4,,,,POINT (-111.8967509 40.7737563)
9421228827,40.7747768,-111.896904,3,,,,POINT (-111.896904 40.7747768)
9421228828,40.774778,-111.8967576,3,,,,POINT (-111.8967576 40.774778)
9421228832,40.7812839,-111.8969162,3,,,,POINT (-111.8969162 40.7812839)
9436976300,40.7802187,-111.9010506,3,,,,POINT (-111.9010506 40.7802187)
9448461776,40.786775,-111.8998042,4,,,,POINT (-111.8998042 40.786775)
9448461777,40.7867412,-111.8998873,3,,,,POINT (-111.8998873 40.7867412)
9448461778,40.7867747,-111.8996252,4,,,,POINT (-111.8996252 40.7867747)
9448461779,40.7714583,-111.896738,4,,,,POINT (-111.896738 40.7714583)
9448461780,40.7713895,-111.8968247,3,,,,POINT (-111.8968247 40.7713895)
9448461781,40.7714587,-111.8969184,4,,,,POINT (-111.8969184 40.7714587)
9448461782,40.7715863,-111.8969185,4,,,,POINT (-111.8969185 40.7715863)
9448535765,40.7716539,-111.8910882,3,,,,POINT (-111.8910882 40.7716539)
9448535766,40.7715811,-111.891058,4,,,,POINT (-111.891058 40.7715811)
9448560890,40.7378032,-111.939138,4,,,,POINT (-111.939138 40.7378032)
9448560891,40.7378021,-111.93898,3,,,,POINT (-111.93898 40.7378021)
9458669847,40.7628883,-111.889778,3,,,,POINT (-111.889778 40.7628883)
9458669848,40.7627591,-111.8897793,3,,,,POINT (-111.8897793 40.7627591)
9458669849,40.7628094,-111.891186,3,,,,POINT (-111.891186 40.7628094)
9497019309,40.725331,-111.899717,4,,,,POINT (-111.899717 40.725331)
9497034419,40.7247239,-111.8918755,1,,,,POINT (-111.8918755 40.7247239)
9689028091,40.7564133,-111.9052714,3,,,,POINT (-111.9052714 40.7564133)
9689028113,40.7561568,-111.9053551,3,,,,POINT (-111.9053551 40.7561568)
9698210199,40.7302733,-111.8712724,3,,,,POINT (-111.8712724 40.7302733)
