osmid,y,x,street_count,highway,ref,railway,geometry
26754213,52.5260068,13.3675639,4,,,,POINT (13.3675639 52.5260068)
26754216,52.5529736,13.4031127,4,,,,POINT (13.4031127 52.5529736)
26754227,52.5279543,13.3677834,3,,,,POINT (13.3677834 52.5279543)
26754229,52.5281222,13.368149,3,,,,POINT (13.368149 52.5281222)
26754288,52.5260988,13.3678308,4,,,,POINT (13.3678308 52.5260988)
26754340,52.525375,13.3656069,4,,,,POINT (13.3656069 52.525375)
26754347,52.5258065,13.3677031,4,,,,POINT (13.3677031 52.5258065)
26754348,52.525882,13.3679523,4,,,,POINT (13.3679523 52.525882)
26754358,52.5267057,13.3705682,3,,,,POINT (13.3705682 52.5267057)
26754565,52.5234253,13.3707273,3,,,,POINT (13.3707273 52.5234253)
26755098,52.5500672,13.3682753,4,,,,POINT (13.3682753 52.5500672)
26755227,52.5515547,13.3674633,4,,,,POINT (13.3674633 52.5515547)
26755229,52.5440422,13.3550638,4,,,,POINT (13.3550638 52.5440422)
26755247,52.5432661,13.3561803,4,,,,POINT (13.3561803 52.5432661)
26755249,52.5426747,13.3533311,3,,,,POINT (13.3533311 52.5426747)
26755580,52.5478685,13.3616523,4,,,,POINT (13.3616523 52.5478685)
26755591,52.5495846,13.3643869,4,,,,POINT (13.3643869 52.5495846)
26755609,52.5486382,13.3660011,3,,,,POINT (13.3660011 52.5486382)
26755634,52.5477927,13.3646921,4,,,,POINT (13.3646921 52.5477927)
26755663,52.546622,13.3628022,4,,,,POINT (13.3628022 52.546622)
26755694,52.5453771,13.3608124,3,,,,POINT (13.3608124 52.5453771)
26756012,52.5448522,13.3660962,1,turning_circle,,,POINT (13.3660962 52.5448522)
26756032,52.5463505,13.3679975,3,,,,POINT (13.3679975 52.5463505)
26756208,52.5439341,13.3589217,3,,,,POINT (13.3589217 52.5439341)
26756209,52.5443403,13.3602663,3,,,,POINT (13.3602663 52.5443403)
26756230,52.5416176,13.3541546,4,,,,POINT (13.3541546 52.5416176)
26756231,52.542191,13.3569527,4,,,,POINT (13.3569527 52.542191)
26756232,52.5410712,13.3576582,3,,,,POINT (13.3576582 52.5410712)
26756233,52.5404361,13.3550173,4,,,,POINT (13.3550173 52.5404361)
26756605,52.5368191,13.3608714,2,,,,POINT (13.3608714 52.5368191)
26764818,52.5046305,13.3994456,4,,,,POINT (13.3994456 52.5046305)
26764819,52.5033726,13.4036946,4,,,,POINT (13.4036946 52.5033726)
26764821,52.5051514,13.4053025,4,,,,POINT (13.4053025 52.5051514)
26764832,52.5053439,13.4002614,3,,,,POINT (13.4002614 52.5053439)
26764903,52.5034301,13.3949542,3,,,,POINT (13.3949542 52.5034301)
26764905,52.5033737,13.395375,3,,,,POINT (13.395375 52.5033737)
26764912,52.504367,13.3928514,4,,,,POINT (13.3928514 52.504367)
26765026,52.5041794,13.3909171,3,,,,POINT (13.3909171 52.5041794)
26765068,52.5032824,13.3910613,3,,,,POINT (13.3910613 52.5032824)
26765334,52.5053383,13.3866183,3,,,,POINT (13.3866183 52.5053383)
26765651,52.5041946,13.3597351,4,,,,POINT (13.3597351 52.5041946)
26765658,52.5038313,13.3616732,4,,,,POINT (13.3616732 52.5038313)
26765664,52.5016935,13.3607724,1,turning_circle,,,POINT (13.3607724 52.5016935)
26765665,52.5010293,13.3581816,3,,,,POINT (13.3581816 52.5010293)
26765666,52.50045,13.3602501,3,,,,POINT (13.3602501 52.50045)
26765667,52.4994471,13.3598842,3,,,,POINT (13.3598842 52.4994471)
26765668,52.4997729,13.362822,4,,,,POINT (13.362822 52.4997729)
26765669,52.499476,13.3645974,3,,,,POINT (13.3645974 52.499476)
26765670,52.4992506,13.3662093,3,,,,POINT (13.3662093 52.4992506)
26765672,52.5031542,13.3727086,3,,,,POINT (13.3727086 52.5031542)
26765675,52.5045892,13.367257,4,,,,POINT (13.367257 52.5045892)
26765676,52.5025802,13.3678549,3,,,,POINT (13.3678549 52.5025802)
26765699,52.5004452,13.3665587,3,,,,POINT (13.3665587 52.5004452)
26765700,52.4999378,13.3706895,3,,,,POINT (13.3706895 52.4999378)
26765758,52.5057345,13.3604884,3,,,,POINT (13.3604884 52.5057345)
26765760,52.5062521,13.368616,4,,,,POINT (13.368616 52.5062521)
26765762,52.5030818,13.3656797,4,,,,POINT (13.3656797 52.5030818)
26807680,52.5228713,13.3629751,4,,,,POINT (13.3629751 52.5228713)
26807728,52.5223663,13.3671854,3,,,,POINT (13.3671854 52.5223663)
26807746,52.5240352,13.3672105,3,,,,POINT (13.3672105 52.5240352)
26807748,52.5232659,13.3682447,3,,,,POINT (13.3682447 52.5232659)
26807750,52.5240374,13.3682064,3,,,,POINT (13.3682064 52.5240374)
26822368,52.5111183,13.371089,4,,,,POINT (13.371089 52.5111183)
26822442,52.5212444,13.3529738,4,,,,POINT (13.3529738 52.5212444)
26822445,52.5209783,13.3593403,3,,,,POINT (13.3593403 52.5209783)
26822448,52.519515,13.3563301,4,,,,POINT (13.3563301 52.519515)
26822451,52.5220414,13.3581116,1,turning_circle,,,POINT (13.3581116 52.5220414)
26822713,52.5112475,13.3720191,3,,,,POINT (13.3720191 52.5112475)
26822715,52.5100533,13.3758843,3,,,,POINT (13.3758843 52.5100533)
26822716,52.5101007,13.376705,3,,,,POINT (13.376705 52.5101007)
26822752,52.5094493,13.3767914,4,,,,POINT (13.3767914 52.5094493)
26822763,52.5091327,13.3730543,3,,,,POINT (13.3730543 52.5091327)
26822770,52.5087109,13.3720022,3,,,,POINT (13.3720022 52.5087109)
26822777,52.5085661,13.3731726,3,,,,POINT (13.3731726 52.5085661)
26822811,52.5084315,13.3698921,3,,,,POINT (13.3698921 52.5084315)
26822816,52.506577,13.3687965,3,,,,POINT (13.3687965 52.506577)
26822979,52.5053192,13.353765,3,,,,POINT (13.353765 52.5053192)
26822993,52.5016955,13.3554593,4,,,,POINT (13.3554593 52.5016955)
26822995,52.5030436,13.3613291,3,,,,POINT (13.3613291 52.5030436)
26823001,52.5007961,13.363681,4,,,,POINT (13.363681 52.5007961)
26823007,52.4989575,13.3570691,4,,,,POINT (13.3570691 52.4989575)
26823009,52.4998754,13.3539048,5,,,,POINT (13.3539048 52.4998754)
26823010,52.4997722,13.3542464,4,,,,POINT (13.3542464 52.4997722)
26823011,52.499207,13.3538816,4,,,,POINT (13.3538816 52.499207)
26823012,52.4991765,13.3542129,5,,,,POINT (13.3542129 52.4991765)
26823025,52.4997723,13.3545472,3,,,,POINT (13.3545472 52.4997723)
26823026,52.5001701,13.3540376,3,,,,POINT (13.3540376 52.5001701)
26823030,52.4984332,13.3595586,4,,,,POINT (13.3595586 52.4984332)
26823032,52.4982089,13.3594798,4,,,,POINT (13.3594798 52.4982089)
26823034,52.4976911,13.3619679,4,,,,POINT (13.3619679 52.4976911)
26823035,52.497922,13.3620704,4,,,,POINT (13.3620704 52.497922)
26848433,52.4864893,13.4289556,4,,,,POINT (13.4289556 52.4864893)
26848434,52.486149,13.4302969,4,,,,POINT (13.4302969 52.486149)
26848438,52.484793,13.4336482,4,,,,POINT (13.4336482 52.484793)
26848440,52.4837392,13.4358193,4,,,,POINT (13.4358193 52.4837392)
26848442,52.4829385,13.4374185,3,,,,POINT (13.4374185 52.4829385)
26848443,52.4827091,13.4378842,3,,,,POINT (13.4378842 52.4827091)
26848446,52.4816404,13.4400595,4,,,,POINT (13.4400595 52.4816404)
26858261,52.5223177,13.3680402,6,,,,POINT (13.3680402 52.5223177)
26859119,52.522629,13.3686033,3,,,,POINT (13.3686033 52.522629)
26859127,52.522518,13.3682945,3,,,,POINT (13.3682945 52.522518)
