osmid,y,x,street_count,highway,ref,junction,railway,geometry
333131601,43.5831422,1.4924382,3,,,,,POINT (1.4924382 43.5831422)
333166773,43.6069661,1.4919058,3,,,,,POINT (1.4919058 43.6069661)
333166779,43.6067274,1.4917635,3,,,,,POINT (1.4917635 43.6067274)
333182097,43.6282334,1.4830023,3,,,,,POINT (1.4830023 43.6282334)
333182147,43.6282658,1.4831199,3,,,,,POINT (1.4831199 43.6282658)
333182217,43.6283785,1.4831528,3,,,,,POINT (1.4831528 43.6283785)
333200243,43.6292081,1.4824957,3,,,,,POINT (1.4824957 43.6292081)
333288794,43.5746398,1.3998806,3,,,,,POINT (1.3998806 43.5746398)
333293878,43.5725093,1.4051727,1,,,,,POINT (1.4051727 43.5725093)
333293928,43.5708802,1.4074538,3,,,,,POINT (1.4074538 43.5708802)
333293947,43.5709924,1.4087306,4,,,,,POINT (1.4087306 43.5709924)
333293989,43.5754793,1.4064469,3,,,,,POINT (1.4064469 43.5754793)
333294086,43.5752954,1.4059195,3,,,,,POINT (1.4059195 43.5752954)
333294092,43.5755762,1.4062074,3,,,,,POINT (1.4062074 43.5755762)
333294118,43.574585,1.4091472,3,,,,,POINT (1.4091472 43.574585)
333301717,43.5793146,1.4108623,2,,,,,POINT (1.4108623 43.5793146)
333301779,43.5761724,1.4061943,4,,,,,POINT (1.4061943 43.5761724)
333301787,43.5836926,1.4008272,3,,,,,POINT (1.4008272 43.5836926)
333307444,43.5706034,1.4109428,3,,,,,POINT (1.4109428 43.5706034)
333307448,43.5704523,1.409911,3,,,,,POINT (1.409911 43.5704523)
333307463,43.5699773,1.4096901,4,,,,,POINT (1.4096901 43.5699773)
333307468,43.5703266,1.4088145,1,,,,,POINT (1.4088145 43.5703266)
333307526,43.5709548,1.4090368,3,,,,,POINT (1.4090368 43.5709548)
333321880,43.5705883,1.4093896,1,turning_circle,,,,POINT (1.4093896 43.5705883)
333321884,43.5691544,1.408319,1,,,,,POINT (1.408319 43.5691544)
333321904,43.5695498,1.4106602,3,,,,,POINT (1.4106602 43.5695498)
