u,v,key,osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,tunnel,access,junction,Groups
69225697,69253116,0,144479818,trunk,4,35 mph,Moreland Avenue Northeast,US 23;GA 42,False,True,264.0021466258639,"LINESTRING (-84.3490324 33.7678266, -84.3490349 33.7677654, -84.3490339 33.7677436, -84.3490427 33.7673837, -84.3490459 33.7672161, -84.3490499 33.7671041, -84.3490579 33.7667637, -84.3490657 33.7664344, -84.3490695 33.7661211, -84.3490808 33.7657004, -84.349152 33.76546)",264.002146625864,1.6859718378252544,0.0045603740062168,,,,,A
69225718,69186972,0,9246150,residential,,,Short Street Southeast,,False,True,182.5661595471001,"LINESTRING (-84.364275 33.750323, -84.3642744 33.7503673, -84.3642716 33.750596, -84.364256 33.751842, -84.3642689 33.7519044, -84.364281 33.751963)",182.5661595471001,1.3303650238795304,0.0001282902018147,,,,,C
69225718,69233320,0,9246691,residential,,,Kirkwood Avenue Southeast,,True,False,47.53320542311401,"LINESTRING (-84.364275 33.750323, -84.3643341 33.7503235, -84.364722 33.7503266, -84.3647891 33.750327)",441.11717521498736,4.322050007911331,0.0009553231476283,,,,,C
69225889,4665959627,0,9246164,residential,,,Temple Street Northwest,,False,False,154.32347389767648,"LINESTRING (-84.422009 33.763497, -84.4220099 33.7635728, -84.4220174 33.7642228, -84.4220521 33.7648842)",154.32347389767648,1.4863350663443549,0.0012245882900503,,,,,C
69225889,69436654,0,490786129,secondary,,,Joseph E. Boone Boulevard Northwest,,False,False,135.2424999453864,"LINESTRING (-84.422009 33.763497, -84.4220881 33.7634973, -84.422978 33.763501, -84.423472 33.763503)",135.2424999453864,1.4881951196830463,0.0046377449011257,,,,,B
69225889,69551933,0,490786129,secondary,,,Joseph E. Boone Boulevard Northwest,,False,True,46.12848695080914,"LINESTRING (-84.422009 33.763497, -84.4215966 33.7634953, -84.42151 33.763495)",46.12848695080914,1.5129526298291398,0.0060063139940563,,,,,B
69225913,69225916,0,472389938,residential,,,Temple Street Northwest,,False,False,93.18519387697371,"LINESTRING (-84.42203 33.766563, -84.422021 33.767401)",93.18519387697371,1.2104348606405952,0.0002451581269919,,,,,C
69225913,69376627,0,9258267,residential,,,Neal Place Northwest,,False,False,130.015963667764,"LINESTRING (-84.42203 33.766563, -84.422238 33.76656, -84.422368 33.766543, -84.422505 33.766503, -84.422641 33.766436, -84.422748 33.766354, -84.422828 33.766267, -84.4230354 33.7659013)",130.01596366776397,1.210434860640596,0.0002451581269919,,,no,,C
69225913,4665959627,0,"[472389938, 9246164]",residential,,,Temple Street Northwest,,False,True,186.70240446284024,"LINESTRING (-84.42203 33.766563, -84.4220361 33.7659926, -84.422046 33.765059, -84.422054 33.7649202, -84.4220521 33.7648842)",186.7024044628402,1.4378219471092826,0.0007351136775029,,,,,C
69225916,69225913,0,472389938,residential,,,Temple Street Northwest,,False,True,93.18519387697371,"LINESTRING (-84.422021 33.767401, -84.42203 33.766563)",93.18519387697371,1.210434860640596,0.0002451581269919,,,,,C
69227156,69200116,0,9246225,residential,,25 mph,11th Street Northeast,,False,False,142.7890833164053,"LINESTRING (-84.387834 33.783262, -84.3877466 33.7832617, -84.3871014 33.7832601, -84.3870002 33.7832598, -84.386354 33.7832587, -84.386289 33.783258)",142.7890833164053,1.6080652363378367,0.0004375333124686,,,,,C
69227156,69372822,0,75359067,secondary,4,30 mph,West Peachtree Street Northwest,,True,False,136.7207887329491,"LINESTRING (-84.387834 33.783262, -84.3878312 33.7836289, -84.3878295 33.7838429, -84.3878257 33.7843451, -84.3878218 33.7844915)",431.0879379933544,4.99263025155334,0.0036685947870412,,,,,B
69227161,69227168,0,9246225,residential,,25 mph,11th Street Northeast,,False,False,75.01962831901153,"LINESTRING (-84.384652 33.783255, -84.3839696 33.7832434, -84.383946 33.783243, -84.3838461 33.7832146)",75.01962831901152,1.7091987223186589,0.0027418273310071,,,,,C
69227161,69200116,0,9246225,residential,,25 mph,11th Street Northeast,,False,True,151.29132028180763,"LINESTRING (-84.384652 33.783255, -84.3846839 33.7832551, -84.3855771 33.7832568, -84.3856256 33.7832569, -84.3856674 33.783257, -84.3857054 33.783257, -84.3857396 33.7832571, -84.3860446 33.7832577, -84.3861162 33.7832574, -84.3862286 33.783258, -84.386289 33.783258)",151.29132028180763,1.624388053942721,0.0015517463398516,,,,,C
69227161,69387063,0,28039002,residential,2,25 mph,Crescent Avenue Northeast,,False,False,137.28562633110238,"LINESTRING (-84.384652 33.783255, -84.3846261 33.7833417, -84.3843713 33.7843642, -84.3843478 33.7844634)",137.28562633110238,1.5267531853654677,0.0007048747030358,,,,,C
69227168,69227161,0,9246225,residential,,25 mph,11th Street Northeast,,False,True,75.01962831901152,"LINESTRING (-84.3838461 33.7832146, -84.383946 33.783243, -84.3839696 33.7832434, -84.384652 33.783255)",75.01962831901153,1.7091987223186598,0.0023948305902034,,,,,C
69227168,69227178,0,198659569,residential,,25 mph,11th Street Northeast,,False,False,142.44171018152576,"LINESTRING (-84.3838461 33.7832146, -84.3837395 33.7831694, -84.3836073 33.7831133, -84.3834111 33.7830482, -84.3832368 33.7830274, -84.3831385 33.7830275, -84.382437 33.7830279, -84.382351 33.783028)",142.44171018152574,1.6698147041352591,0.0022926913901644,,,,,C
69227168,69515842,0,631653294,secondary,4,25 mph,Peachtree Street Northeast,,False,False,167.60453882998314,"LINESTRING (-84.3838461 33.7832146, -84.3838948 33.7831018, -84.3838958 33.7830903, -84.383941 33.782568, -84.383961 33.782315, -84.3840079 33.7818565, -84.3840244 33.7817186)",167.60453882998314,1.8321158349967688,0.0064243693189954,,,,,B
69227168,69387071,0,"[354587522, 943600887]",secondary,4,25 mph,Peachtree Street Northeast,,False,True,143.8233335936501,"LINESTRING (-84.3838461 33.7832146, -84.3838081 33.7833026, -84.3837963 33.7833299, -84.3836601 33.7835497, -84.3832417 33.7840234, -84.3831213 33.7842183, -84.3831088 33.7842563, -84.3830841 33.7843311)",143.82333359365003,1.7033306076125003,0.0064796170675745,,,,,B
69227178,69227179,0,198659569,residential,,25 mph,11th Street Northeast,,False,False,129.84973849607485,"LINESTRING (-84.382351 33.783028, -84.382276 33.7830279, -84.3818336 33.7830276, -84.380946 33.783027)",129.84973849607485,1.7408848589951538,0.0002889234816878,,,,,C
69227178,69227168,0,198659569,residential,,25 mph,11th Street Northeast,,False,True,142.44171018152574,"LINESTRING (-84.382351 33.783028, -84.382437 33.7830279, -84.3831385 33.7830275, -84.3832368 33.7830274, -84.3834111 33.7830482, -84.3836073 33.7831133, -84.3837395 33.7831694, -84.3838461 33.7832146)",142.44171018152576,1.669814704135259,6.582838378031908e-05,,,,,C
69227178,69588600,0,750019484,secondary,3,25 mph,Juniper Street Northeast,,True,False,142.08232545928,"LINESTRING (-84.382351 33.783028, -84.3823563 33.782982, -84.3823825 33.7827554, -84.3824276 33.7823655, -84.3824451 33.7822138, -84.3824888 33.7818487, -84.3824946 33.7817559)",451.6512814306652,5.160732840413905,0.0103305474601004,,,,,B
