osmid,y,x,street_count,highway,junction,ref,railway,geometry
457361240,41.359297,2.1321216,4,,,,,POINT (2.1321216 41.359297)
457394419,41.3595518,2.1326234,4,,,,,POINT (2.1326234 41.3595518)
457394426,41.3580535,2.1336569,3,,,,,POINT (2.1336569 41.3580535)
457394433,41.3562476,2.1349781,3,,,,,POINT (2.1349781 41.3562476)
457394440,41.3583787,2.1363627,3,,,,,POINT (2.1363627 41.3583787)
457394454,41.357788,2.1349151,3,,,,,POINT (2.1349151 41.357788)
457394503,41.3576732,2.1346191,1,,,,,POINT (2.1346191 41.3576732)
465497902,41.364976,2.1600385,3,crossing,,,,POINT (2.1600385 41.364976)
492081761,41.4059768,2.19706,3,,,,,POINT (2.19706 41.4059768)
493241896,41.4102643,2.1935332,3,,,,,POINT (2.1935332 41.4102643)
493812457,41.3705789,2.1748859,3,,,,,POINT (2.1748859 41.3705789)
493812463,41.3702699,2.1749412,3,,,,,POINT (2.1749412 41.3702699)
493812465,41.3702221,2.1750696,3,,,,,POINT (2.1750696 41.3702221)
493812469,41.3703242,2.1752649,3,,,,,POINT (2.1752649 41.3703242)
493812473,41.3705069,2.1752798,3,,,,,POINT (2.1752798 41.3705069)
493812501,41.3733255,2.1767002,3,crossing,,,,POINT (2.1767002 41.3733255)
501794356,41.3645176,2.1207045,3,,,,,POINT (2.1207045 41.3645176)
506131402,41.4002688,2.1843763,4,,,,,POINT (2.1843763 41.4002688)
506151644,41.3973085,2.1971866,4,,,,,POINT (2.1971866 41.3973085)
506223330,41.3981981,2.1893053,4,,,,,POINT (2.1893053 41.3981981)
506223339,41.3998746,2.1915525,4,,,,,POINT (2.1915525 41.3998746)
506223345,41.4007043,2.1927285,3,,,,,POINT (2.1927285 41.4007043)
506223391,41.4093778,2.1902437,3,,,,,POINT (2.1902437 41.4093778)
506223393,41.410529,2.1916252,3,,,,,POINT (2.1916252 41.410529)
506223395,41.4107979,2.1911933,3,,,,,POINT (2.1911933 41.4107979)
506223397,41.4119025,2.1913811,4,,,,,POINT (2.1913811 41.4119025)
506223408,41.4091089,2.1917132,3,,,,,POINT (2.1917132 41.4091089)
506223414,41.4104129,2.196007,3,,,,,POINT (2.196007 41.4104129)
506223416,41.4111271,2.1924149,4,,,,,POINT (2.1924149 41.4111271)
506223417,41.413711,2.1958143,3,,,,,POINT (2.1958143 41.413711)
506236258,41.3952136,2.1819041,3,,,,,POINT (2.1819041 41.3952136)
506236259,41.3962848,2.1822249,3,,,,,POINT (2.1822249 41.3962848)
506236271,41.3965955,2.1823116,3,crossing,,,,POINT (2.1823116 41.3965955)
506236275,41.3991133,2.1837271,5,,,,,POINT (2.1837271 41.3991133)
506242639,41.4067895,2.1877207,3,,,,,POINT (2.1877207 41.4067895)
506242644,41.4062143,2.1890394,3,,,,,POINT (2.1890394 41.4062143)
506242670,41.4101545,2.1907639,3,,,,,POINT (2.1907639 41.4101545)
506242739,41.4119846,2.1935611,4,,,,,POINT (2.1935611 41.4119846)
506242742,41.4111055,2.194694,3,,,,,POINT (2.194694 41.4111055)
506242745,41.4127664,2.1925131,4,,,,,POINT (2.1925131 41.4127664)
506470212,41.3900603,2.1827168,3,,,,,POINT (2.1827168 41.3900603)
511123411,41.3850229,2.1371688,4,,,,,POINT (2.1371688 41.3850229)
511123413,41.3848101,2.1359456,3,,,,,POINT (2.1359456 41.3848101)
511123419,41.3846663,2.1345535,3,,,,,POINT (2.1345535 41.3846663)
513342399,41.4101584,2.1402458,3,,,,,POINT (2.1402458 41.4101584)
530671038,41.376514,2.1321813,3,,,,,POINT (2.1321813 41.376514)
530671039,41.3768489,2.1335782,3,,,,,POINT (2.1335782 41.3768489)
530676956,41.3755068,2.1306518,4,,,,,POINT (2.1306518 41.3755068)
530676957,41.3755092,2.1302567,4,,,,,POINT (2.1302567 41.3755092)
530687854,41.3786887,2.1424181,3,,,,,POINT (2.1424181 41.3786887)
530687855,41.3796674,2.1437998,3,,,,,POINT (2.1437998 41.3796674)
530687873,41.3831015,2.1482761,4,traffic_signals,,,,POINT (2.1482761 41.3831015)
530924804,41.3761189,2.1359478,3,,,,,POINT (2.1359478 41.3761189)
530924810,41.376316,2.1348162,3,,,,,POINT (2.1348162 41.376316)
530924812,41.3762312,2.134402,3,,,,,POINT (2.134402 41.3762312)
530924814,41.3765052,2.1357665,3,,,,,POINT (2.1357665 41.3765052)
530924816,41.3763688,2.136619,4,,,,,POINT (2.136619 41.3763688)
530924818,41.3775504,2.1384222,3,,,,,POINT (2.1384222 41.3775504)
532408931,41.3758468,2.134675,3,,,,,POINT (2.134675 41.3758468)
532408943,41.3771301,2.1344914,3,,,,,POINT (2.1344914 41.3771301)
532408967,41.3770234,2.1340529,4,,,,,POINT (2.1340529 41.3770234)
532408969,41.3773374,2.135361,4,,,,,POINT (2.135361 41.3773374)
532408981,41.3773229,2.1377592,4,,,,,POINT (2.1377592 41.3773229)
532408985,41.378112,2.1371246,4,,,,,POINT (2.1371246 41.378112)
532430853,41.3777295,2.1392033,4,,,,,POINT (2.1392033 41.3777295)
533615996,41.3996486,2.1205053,3,,,,,POINT (2.1205053 41.3996486)
533616023,41.3996043,2.1189654,3,,,,,POINT (2.1189654 41.3996043)
533616095,41.3995205,2.1240147,5,traffic_signals,,,,POINT (2.1240147 41.3995205)
533616122,41.4005114,2.1192658,3,crossing,,,,POINT (2.1192658 41.4005114)
533662625,41.3900937,2.1773975,4,,,,,POINT (2.1773975 41.3900937)
533662733,41.3815841,2.1853312,4,,,,,POINT (2.1853312 41.3815841)
533663031,41.3813787,2.182166,4,,,,,POINT (2.182166 41.3813787)
533665264,41.3710087,2.1473545,3,,,,,POINT (2.1473545 41.3710087)
533665304,41.3707005,2.1475889,4,,,,,POINT (2.1475889 41.3707005)
533954387,41.3781087,2.134993,4,,,,,POINT (2.134993 41.3781087)
533954389,41.3782892,2.1357471,3,,,,,POINT (2.1357471 41.3782892)
533961430,41.3782983,2.1325749,3,,,,,POINT (2.1325749 41.3782983)
534361450,41.3766682,2.1328203,3,,,,,POINT (2.1328203 41.3766682)
534361466,41.3759269,2.1326256,3,,,,,POINT (2.1326256 41.3759269)
535228349,41.4012188,2.1302289,4,,,,,POINT (2.1302289 41.4012188)
535228352,41.4006588,2.129158,4,,,,,POINT (2.129158 41.4006588)
535228353,41.4000306,2.1279526,4,,,,,POINT (2.1279526 41.4000306)
535228357,41.400899,2.1252056,3,,,,,POINT (2.1252056 41.400899)
535228359,41.3987934,2.1272666,4,,,,,POINT (2.1272666 41.3987934)
535228364,41.404362,2.1294247,4,traffic_signals,,,,POINT (2.1294247 41.404362)
535228365,41.4055873,2.1271371,3,,,,,POINT (2.1271371 41.4055873)
535228366,41.4040005,2.1243316,4,,,,,POINT (2.1243316 41.4040005)
535228367,41.4045489,2.1253084,4,,,,,POINT (2.1253084 41.4045489)
