osmid,y,x,street_count,highway,ref,railway,geometry
46357050,52.3651566,4.87686,4,,,,POINT (4.87686 52.3651566)
46357105,52.3651646,4.9522903,1,,,,POINT (4.9522903 52.3651646)
46357364,52.36523,4.88066,1,,,,POINT (4.88066 52.36523)
46357388,52.3651936,4.8669047,3,,,,POINT (4.8669047 52.3651936)
46357461,52.36532,4.9278345,3,,,,POINT (4.9278345 52.36532)
46357493,52.3653035,4.8752266,4,,,,POINT (4.8752266 52.3653035)
46357495,52.3652318,4.9460633,3,,,,POINT (4.9460633 52.3652318)
46357659,52.365334,4.9484906,5,,,,POINT (4.9484906 52.365334)
46357670,52.3653558,4.9054075,4,,,,POINT (4.9054075 52.3653558)
46357671,52.3653136,4.9316995,3,,,,POINT (4.9316995 52.3653136)
46357693,52.3653315,4.8903976,3,,,,POINT (4.8903976 52.3653315)
46357698,52.3653784,4.9055435,4,,,,POINT (4.9055435 52.3653784)
46357702,52.3653513,4.9502192,3,,,,POINT (4.9502192 52.3653513)
46357842,52.3653809,4.933901,4,,,,POINT (4.933901 52.3653809)
46357995,52.3653983,4.9341748,4,,,,POINT (4.9341748 52.3653983)
46358056,52.365416,4.94467,4,,,,POINT (4.94467 52.365416)
46358083,52.3654345,4.8702096,4,,,,POINT (4.8702096 52.3654345)
46358114,52.3653605,4.8512891,3,,,,POINT (4.8512891 52.3653605)
46358143,52.3654921,4.9005997,3,,,,POINT (4.9005997 52.3654921)
46358194,52.365395,4.8721975,1,,,,POINT (4.8721975 52.365395)
46358196,52.3654633,4.9444496,3,,,,POINT (4.9444496 52.3654633)
46358230,52.3655296,4.9109382,4,,,,POINT (4.9109382 52.3655296)
46358447,52.3654507,4.867885,3,,,,POINT (4.867885 52.3654507)
46358560,52.3655532,4.9438328,1,,,,POINT (4.9438328 52.3655532)
46358581,52.3656053,4.8808029,4,,,,POINT (4.8808029 52.3656053)
46358665,52.3656034,4.9366382,3,,,,POINT (4.9366382 52.3656034)
46358880,52.3656484,4.8784504,3,,,,POINT (4.8784504 52.3656484)
46358999,52.3656693,4.8530448,3,,,,POINT (4.8530448 52.3656693)
46359001,52.3656721,4.8764188,3,,,,POINT (4.8764188 52.3656721)
46359162,52.3656773,4.8531972,4,,,,POINT (4.8531972 52.3656773)
46359328,52.3656963,4.862957,3,,,,POINT (4.862957 52.3656963)
46359330,52.365708,4.8712539,4,,,,POINT (4.8712539 52.365708)
46359383,52.3657293,4.8541536,4,,,,POINT (4.8541536 52.3657293)
46359454,52.3658728,4.9248721,1,,,,POINT (4.9248721 52.3658728)
46359489,52.3657863,4.8748413,3,,,,POINT (4.8748413 52.3657863)
46359491,52.3658051,4.9004288,2,,,,POINT (4.9004288 52.3658051)
46359751,52.3658659,4.8718329,4,,,,POINT (4.8718329 52.3658659)
46359755,52.3656989,4.9288085,1,,,,POINT (4.9288085 52.3656989)
46359792,52.3658386,4.907997,3,,,,POINT (4.907997 52.3658386)
46359850,52.3657968,4.9268733,4,,,,POINT (4.9268733 52.3657968)
46359871,52.3659103,4.8566476,4,,,,POINT (4.8566476 52.3659103)
46359888,52.3658852,4.9478192,3,,,,POINT (4.9478192 52.3658852)
46360122,52.3659158,4.92678,4,,,,POINT (4.92678 52.3659158)
46360124,52.3659162,4.9287622,3,,,,POINT (4.9287622 52.3659162)
46360128,52.3659428,4.9479402,4,,,,POINT (4.9479402 52.3659428)
46360157,52.3659711,4.8652085,3,,,,POINT (4.8652085 52.3659711)
46360198,52.3660753,4.8616717,3,,,,POINT (4.8616717 52.3660753)
46360216,52.3659873,4.8826411,2,,,,POINT (4.8826411 52.3659873)
46360239,52.3659618,4.857538,3,,,,POINT (4.857538 52.3659618)
46360267,52.3659315,4.8698193,3,,,,POINT (4.8698193 52.3659315)
46360268,52.365993,4.8805265,3,,,,POINT (4.8805265 52.365993)
46360550,52.3660098,4.9318517,3,,,,POINT (4.9318517 52.3660098)
46360568,52.3660603,4.9018656,3,,,,POINT (4.9018656 52.3660603)
46360617,52.3660193,4.9321681,4,,,,POINT (4.9321681 52.3660193)
46360685,52.3660369,4.9327368,4,,,,POINT (4.9327368 52.3660369)
46360942,52.366111,4.9373017,3,,,,POINT (4.9373017 52.366111)
46360949,52.366089,4.9564141,3,,,,POINT (4.9564141 52.366089)
46360978,52.3660893,4.877864,4,,,,POINT (4.877864 52.3660893)
46360980,52.3661476,4.8831304,3,,,,POINT (4.8831304 52.3661476)
46360983,52.36612,4.938,3,,,,POINT (4.938 52.36612)
46360985,52.3661606,4.9421151,3,,,,POINT (4.9421151 52.3661606)
46361012,52.3661012,4.9366235,3,,,,POINT (4.9366235 52.3661012)
46361013,52.3661382,4.9394747,4,,,,POINT (4.9394747 52.3661382)
46361036,52.3661702,4.9449456,3,,,,POINT (4.9449456 52.3661702)
46361176,52.3661855,4.8824493,4,,,,POINT (4.8824493 52.3661855)
46361181,52.3662476,4.9338846,4,,,,POINT (4.9338846 52.3662476)
46361183,52.3661391,4.9461699,4,,,,POINT (4.9461699 52.3661391)
46361187,52.3661463,4.9561714,3,,,,POINT (4.9561714 52.3661463)
46361247,52.3662194,4.8626172,3,,,,POINT (4.8626172 52.3662194)
46361479,52.3661956,4.924353,3,,,,POINT (4.924353 52.3661956)
46361614,52.3662052,4.9071555,1,,,,POINT (4.9071555 52.3662052)
46361837,52.3663277,4.9085689,3,,,,POINT (4.9085689 52.3663277)
46361924,52.3663777,4.9261622,3,,,,POINT (4.9261622 52.3663777)
46361946,52.3663103,4.8611933,3,,,,POINT (4.8611933 52.3663103)
46361992,52.3663713,4.8785527,3,,,,POINT (4.8785527 52.3663713)
46361994,52.3664112,4.8838509,3,,,,POINT (4.8838509 52.3664112)
46362280,52.3663439,4.8829009,4,,,,POINT (4.8829009 52.3663439)
46362476,52.3665156,4.8772607,3,,,,POINT (4.8772607 52.3665156)
46362483,52.36645,4.9239791,4,,,,POINT (4.9239791 52.36645)
46362707,52.3665568,4.8821959,3,,,,POINT (4.8821959 52.3665568)
46362733,52.366516,4.9015937,4,,,,POINT (4.9015937 52.366516)
46362756,52.3664577,4.8671994,1,,,,POINT (4.8671994 52.3664577)
46362856,52.3666214,4.880065,4,,,,POINT (4.880065 52.3666214)
46362980,52.3666276,4.8745612,4,,,,POINT (4.8745612 52.3666276)
46363000,52.3666067,4.9014728,3,,,,POINT (4.9014728 52.3666067)
46363077,52.3667025,4.8826927,3,,,,POINT (4.8826927 52.3667025)
46363201,52.3667811,4.8648219,3,,,,POINT (4.8648219 52.3667811)
46363315,52.3667027,4.884677,3,,,,POINT (4.884677 52.3667027)
46363443,52.3667286,4.8498401,3,,,,POINT (4.8498401 52.3667286)
46363445,52.3667872,4.8799675,3,,,,POINT (4.8799675 52.3667872)
46363698,52.3668182,4.8623495,3,,,,POINT (4.8623495 52.3668182)
46363752,52.3668667,4.8536199,3,,,,POINT (4.8536199 52.3668667)
46363762,52.3668645,4.9338917,4,,,,POINT (4.9338917 52.3668645)
46363812,52.3668661,4.9337768,4,,,,POINT (4.9337768 52.3668661)
46363868,52.3668194,4.8770358,3,,,,POINT (4.8770358 52.3668194)
46363900,52.3668956,4.8852281,3,,,,POINT (4.8852281 52.3668956)
46363936,52.3669013,4.9020401,2,,,,POINT (4.9020401 52.3669013)
46363984,52.3669051,4.8755694,3,,,,POINT (4.8755694 52.3669051)
46364210,52.366922,4.939484,4,,,,POINT (4.939484 52.366922)
46364348,52.3668654,4.8506734,4,,,,POINT (4.8506734 52.3668654)
46364379,52.3670025,4.8957664,3,,,,POINT (4.8957664 52.3670025)
46364386,52.3669503,4.9460791,4,,,,POINT (4.9460791 52.3669503)
46364531,52.3669001,4.8845329,4,,,,POINT (4.8845329 52.3669001)
46364544,52.3669645,4.9221018,3,,,,POINT (4.9221018 52.3669645)
46364818,52.3670193,4.8515686,4,,,,POINT (4.8515686 52.3670193)
46364819,52.3669846,4.9251616,5,,,,POINT (4.9251616 52.3669846)
46365231,52.3670794,4.8850042,4,,,,POINT (4.8850042 52.3670794)
46365266,52.36716,4.95042,1,,,,POINT (4.95042 52.36716)
46365303,52.3672059,4.8796558,4,,,,POINT (4.8796558 52.3672059)
46365350,52.3671623,4.8523963,4,,,,POINT (4.8523963 52.3671623)
46365411,52.3672778,4.8620599,3,,,,POINT (4.8620599 52.3672778)
46365572,52.3671932,4.8525753,4,,,,POINT (4.8525753 52.3671932)
46365575,52.3672532,4.8645536,4,,,,POINT (4.8645536 52.3672532)
46365598,52.3672039,4.8842103,3,,,,POINT (4.8842103 52.3672039)
46365684,52.3672511,4.8666615,2,,,,POINT (4.8666615 52.3672511)
46365716,52.3672914,4.8627854,3,,,,POINT (4.8627854 52.3672914)
46365718,52.3672622,4.8768696,3,,,,POINT (4.8768696 52.3672622)
46365720,52.3672549,4.881505,3,,,,POINT (4.881505 52.3672549)
46365743,52.3672784,4.9125109,4,,,,POINT (4.9125109 52.3672784)
46365861,52.3672977,4.9211671,3,,,,POINT (4.9211671 52.3672977)
46366122,52.3673354,4.8533985,3,,,,POINT (4.8533985 52.3673354)
46366390,52.3674782,4.925626,5,,,,POINT (4.925626 52.3674782)
46366421,52.3674092,4.925586,4,,,,POINT (4.925586 52.3674092)
46366452,52.3674201,4.8866994,3,,,,POINT (4.8866994 52.3674201)
46366625,52.3675,4.9026949,2,,,,POINT (4.9026949 52.3675)
46366848,52.3674959,4.9179624,3,,,,POINT (4.9179624 52.3674959)
46366917,52.3675024,4.9337515,4,,,,POINT (4.9337515 52.3675024)
46366947,52.3675029,4.9338656,3,,,,POINT (4.9338656 52.3675029)
46366948,52.3675741,4.9536033,1,,,,POINT (4.9536033 52.3675741)
46367002,52.3675364,4.8676155,3,,,,POINT (4.8676155 52.3675364)
46367326,52.3675239,4.9497753,1,,,,POINT (4.9497753 52.3675239)
46367400,52.3676672,4.9351966,3,,,,POINT (4.9351966 52.3676672)
46367402,52.3676688,4.9369533,3,,,,POINT (4.9369533 52.3676688)
46367433,52.3676501,4.8643181,3,,,,POINT (4.8643181 52.3676501)
46367435,52.3676622,4.9376194,3,,,,POINT (4.9376194 52.3676622)
46367468,52.3676616,4.8940301,2,,,,POINT (4.8940301 52.3676616)
46367561,52.3676822,4.8811403,3,,,,POINT (4.8811403 52.3676822)
46367563,52.3675919,4.8864288,3,,,,POINT (4.8864288 52.3675919)
46367801,52.367692,4.8792924,3,,,,POINT (4.8792924 52.367692)
46367805,52.3677345,4.9248011,4,,,,POINT (4.9248011 52.3677345)
46367895,52.3677125,4.8960227,3,,,,POINT (4.8960227 52.3677125)
46368088,52.3677176,4.8436766,3,,,,POINT (4.8436766 52.3677176)
46368135,52.367779,4.8869657,3,,,,POINT (4.8869657 52.367779)
46368464,52.3679971,4.8633899,1,,,,POINT (4.8633899 52.3679971)
46368467,52.3678987,4.8791425,3,,,,POINT (4.8791425 52.3678987)
46368484,52.367902,4.903479,4,,,,POINT (4.903479 52.367902)
46368850,52.3678985,4.8653156,3,,,,POINT (4.8653156 52.3678985)
46368852,52.3679594,4.9030972,3,,,,POINT (4.9030972 52.3679594)
46369240,52.3680221,4.9413267,3,,,,POINT (4.9413267 52.3680221)
46369259,52.3680085,4.9403994,2,,,,POINT (4.9403994 52.3680085)
46369260,52.3680381,4.9427951,3,,,,POINT (4.9427951 52.3680381)
46369281,52.3680635,4.9456403,2,,,,POINT (4.9456403 52.3680635)
46369307,52.3680346,4.9421806,3,,,,POINT (4.9421806 52.3680346)
46369309,52.3680576,4.9445836,3,,,,POINT (4.9445836 52.3680576)
46369332,52.3680445,4.9436502,3,,,,POINT (4.9436502 52.3680445)
46369368,52.3680835,4.8797423,3,,,,POINT (4.8797423 52.3680835)
46369502,52.3680185,4.8822794,3,,,,POINT (4.8822794 52.3680185)
46369647,52.3681279,4.952398,3,,,,POINT (4.952398 52.3681279)
46369688,52.3681208,4.8662609,3,,,,POINT (4.8662609 52.3681208)
46369718,52.368138,4.9456345,3,,,,POINT (4.9456345 52.368138)
46369747,52.3681722,4.8552501,3,,,,POINT (4.8552501 52.3681722)
46369772,52.3681377,4.9461032,3,,,,POINT (4.9461032 52.3681377)
46369795,52.3681657,4.9403937,2,,,,POINT (4.9403937 52.3681657)
46369836,52.3681708,4.9413213,3,,,,POINT (4.9413213 52.3681708)
46369838,52.3681756,4.9421772,3,,,,POINT (4.9421772 52.3681756)
46369860,52.3681871,4.8880937,3,,,,POINT (4.8880937 52.3681871)
46369862,52.3682229,4.8978231,3,,,,POINT (4.8978231 52.3682229)
46369868,52.368188,4.9264391,2,,,,POINT (4.9264391 52.368188)
46369870,52.3681952,4.9436449,3,,,,POINT (4.9436449 52.3681952)
46369920,52.3681861,4.9427915,3,,,,POINT (4.9427915 52.3681861)
46370050,52.3682009,4.945631,2,,,,POINT (4.945631 52.3682009)
46370083,52.368205,4.9445783,3,,,,POINT (4.9445783 52.368205)
46370164,52.3682424,4.89752,3,,,,POINT (4.89752 52.3682424)
46370194,52.36825,4.88029,3,,,,POINT (4.88029 52.36825)
46370309,52.368322,4.9038045,3,,,,POINT (4.9038045 52.368322)
46370376,52.3683169,4.8630103,3,,,,POINT (4.8630103 52.3683169)
46370465,52.3683295,4.8561451,3,,,,POINT (4.8561451 52.3683295)
46370467,52.3681711,4.8635487,1,,,,POINT (4.8635487 52.3681711)
46370468,52.3683177,4.8965112,3,,,,POINT (4.8965112 52.3683177)
46370539,52.3682995,4.8529296,3,,,,POINT (4.8529296 52.3682995)
46370544,52.3682851,4.9351856,3,,,,POINT (4.9351856 52.3682851)
