osmid,y,x,street_count,highway,geometry
773014463,51.4894785,-3.1766402,3,,POINT (-3.1766402 51.4894785)
773014464,51.4887091,-3.1773698,3,,POINT (-3.1773698 51.4887091)
773014465,51.4893826,-3.1764337,3,,POINT (-3.1764337 51.4893826)
795916375,51.4778885,-3.1372337,3,,POINT (-3.1372337 51.4778885)
795916381,51.4780743,-3.1371459,3,,POINT (-3.1371459 51.4780743)
795916382,51.4780494,-3.1371089,3,,POINT (-3.1371089 51.4780494)
795949067,51.5022034,-3.1604773,1,turning_circle,POINT (-3.1604773 51.5022034)
803564015,51.4787591,-3.199423,1,,POINT (-3.199423 51.4787591)
803771376,51.4842034,-3.206125,3,,POINT (-3.206125 51.4842034)
803771417,51.4829476,-3.201162,1,,POINT (-3.201162 51.4829476)
803771440,51.4830989,-3.1996046,3,,POINT (-3.1996046 51.4830989)
803771481,51.4844027,-3.2050569,3,,POINT (-3.2050569 51.4844027)
803832455,51.4662775,-3.1829829,3,,POINT (-3.1829829 51.4662775)
803832456,51.4668301,-3.1832542,3,,POINT (-3.1832542 51.4668301)
803832457,51.4673822,-3.1835344,3,,POINT (-3.1835344 51.4673822)
803832463,51.4658228,-3.185296,4,,POINT (-3.185296 51.4658228)
803832468,51.46639,-3.182349,1,,POINT (-3.182349 51.46639)
803832484,51.4661098,-3.1869945,1,,POINT (-3.1869945 51.4661098)
803832485,51.466414,-3.1854317,4,,POINT (-3.1854317 51.466414)
803832491,51.4665757,-3.1877102,1,,POINT (-3.1877102 51.4665757)
804436085,51.4886271,-3.2030052,1,,POINT (-3.2030052 51.4886271)
804436086,51.4887981,-3.2020664,3,,POINT (-3.2020664 51.4887981)
804436087,51.4877093,-3.2008873,1,,POINT (-3.2008873 51.4877093)
806786740,51.4977215,-3.1594782,3,,POINT (-3.1594782 51.4977215)
817888050,51.5071161,-3.1918916,3,,POINT (-3.1918916 51.5071161)
817888052,51.5072472,-3.1932099,1,,POINT (-3.1932099 51.5072472)
817889544,51.5133876,-3.2029108,3,,POINT (-3.2029108 51.5133876)
818099036,51.4735231,-3.1925239,3,,POINT (-3.1925239 51.4735231)
818099086,51.4634274,-3.1830252,3,,POINT (-3.1830252 51.4634274)
818099100,51.4631158,-3.1843959,3,,POINT (-3.1843959 51.4631158)
818099122,51.4640315,-3.18077,1,turning_circle,POINT (-3.18077 51.4640315)
822651791,51.4924796,-3.1883639,3,,POINT (-3.1883639 51.4924796)
822651793,51.4925808,-3.1887381,3,,POINT (-3.1887381 51.4925808)
822651975,51.4973901,-3.1924444,3,,POINT (-3.1924444 51.4973901)
823327978,51.4739087,-3.2063512,4,,POINT (-3.2063512 51.4739087)
823342443,51.492837,-3.1339036,3,,POINT (-3.1339036 51.492837)
823342500,51.496421,-3.132944,3,,POINT (-3.132944 51.496421)
823344978,51.4857551,-3.1550313,1,,POINT (-3.1550313 51.4857551)
823344983,51.4855018,-3.1655743,3,,POINT (-3.1655743 51.4855018)
823344998,51.484301,-3.1605699,1,,POINT (-3.1605699 51.484301)
828606927,51.4808503,-3.1912063,1,,POINT (-3.1912063 51.4808503)
828808689,51.5038567,-3.2025249,1,turning_circle,POINT (-3.2025249 51.5038567)
828909730,51.498046,-3.1929299,3,,POINT (-3.1929299 51.498046)
828909782,51.4977545,-3.1931775,1,,POINT (-3.1931775 51.4977545)
874319621,51.4498662,-3.1792027,1,,POINT (-3.1792027 51.4498662)
915603263,51.4473736,-3.197769,1,,POINT (-3.197769 51.4473736)
915603264,51.4474338,-3.1973399,3,,POINT (-3.1973399 51.4474338)
915603267,51.4470199,-3.1976397,3,,POINT (-3.1976397 51.4470199)
915603383,51.4474739,-3.1970502,1,,POINT (-3.1970502 51.4474739)
915605518,51.4483833,-3.1908597,3,,POINT (-3.1908597 51.4483833)
915605520,51.4492258,-3.1927908,1,,POINT (-3.1927908 51.4492258)
915605816,51.4476905,-3.1907202,1,,POINT (-3.1907202 51.4476905)
915605827,51.4487822,-3.190557,3,,POINT (-3.190557 51.4487822)
915610044,51.4409153,-3.1729032,1,,POINT (-3.1729032 51.4409153)
915610046,51.4409499,-3.1720742,3,,POINT (-3.1720742 51.4409499)
915921503,51.4400583,-3.2162412,3,,POINT (-3.2162412 51.4400583)
917346450,51.5113321,-3.2185953,3,,POINT (-3.2185953 51.5113321)
917346471,51.5107228,-3.21958,1,,POINT (-3.21958 51.5107228)
917346487,51.5110738,-3.2204898,1,,POINT (-3.2204898 51.5110738)
921504501,51.4404821,-3.1937971,3,,POINT (-3.1937971 51.4404821)
923947812,51.4867883,-3.2294047,1,,POINT (-3.2294047 51.4867883)
923947822,51.4861813,-3.2293259,3,,POINT (-3.2293259 51.4861813)
923948268,51.4895394,-3.2310425,1,,POINT (-3.2310425 51.4895394)
923948279,51.48845,-3.2306969,3,,POINT (-3.2306969 51.48845)
947252936,51.4656807,-3.1827309,3,,POINT (-3.1827309 51.4656807)
947260537,51.4643745,-3.1845217,1,,POINT (-3.1845217 51.4643745)
947260544,51.4640453,-3.1841121,3,,POINT (-3.1841121 51.4640453)
947274526,51.4667879,-3.1814954,1,,POINT (-3.1814954 51.4667879)
947276808,51.4658298,-3.1824577,1,,POINT (-3.1824577 51.4658298)
947277098,51.4653464,-3.1828558,1,,POINT (-3.1828558 51.4653464)
947283734,51.4680448,-3.1813274,2,,POINT (-3.1813274 51.4680448)
947283780,51.4675706,-3.1803251,2,,POINT (-3.1803251 51.4675706)
947288427,51.4684004,-3.18086,2,,POINT (-3.18086 51.4684004)
947288431,51.4678864,-3.1800419,2,,POINT (-3.1800419 51.4678864)
947288436,51.4675023,-3.1790199,2,,POINT (-3.1790199 51.4675023)
957642713,51.4707375,-3.1938053,1,,POINT (-3.1938053 51.4707375)
