osmid,y,x,highway,street_count,ref,junction,geometry
42428029,40.7739755,-73.9485489,traffic_signals,4,,,POINT (-73.9485489 40.7739755)
42428032,40.7746144,-73.9480825,traffic_signals,4,,,POINT (-73.9480825 40.7746144)
42428034,40.775245,-73.9476222,traffic_signals,4,,,POINT (-73.9476222 40.775245)
42428037,40.775932,-73.9471206,traffic_signals,4,,,POINT (-73.9471206 40.775932)
42428039,40.7766022,-73.9466326,traffic_signals,4,,,POINT (-73.9466326 40.7766022)
42428043,40.7772288,-73.9461764,traffic_signals,4,,,POINT (-73.9461764 40.7772288)
42428045,40.777874,-73.9457066,traffic_signals,4,,,POINT (-73.9457066 40.777874)
42428047,40.7784878,-73.9452597,traffic_signals,4,,,POINT (-73.9452597 40.7784878)
42428049,40.779149,-73.944779,traffic_signals,3,,,POINT (-73.944779 40.779149)
42428052,40.7797423,-73.9442883,traffic_signals,4,,,POINT (-73.9442883 40.7797423)
42428061,40.7812798,-73.9759984,traffic_signals,3,,,POINT (-73.9759984 40.7812798)
42428063,40.7824641,-73.9788209,traffic_signals,4,,,POINT (-73.9788209 40.7824641)
42428065,40.7832069,-73.9805809,traffic_signals,4,,,POINT (-73.9805809 40.7832069)
42428068,40.7836663,-73.9816706,traffic_signals,4,,,POINT (-73.9816706 40.7836663)
42428072,40.7843551,-73.9832997,traffic_signals,3,,,POINT (-73.9832997 40.7843551)
42428174,40.7378047,-73.9901393,traffic_signals,3,,,POINT (-73.9901393 40.7378047)
42428179,40.7384929,-73.9899534,traffic_signals,4,,,POINT (-73.9899534 40.7384929)
42428183,40.7391688,-73.9897506,,4,,,POINT (-73.9897506 40.7391688)
42428192,40.7398722,-73.9895636,,4,,,POINT (-73.9895636 40.7398722)
42428198,40.7406193,-73.9894421,traffic_signals,4,,,POINT (-73.9894421 40.7406193)
42428201,40.7413643,-73.9891378,traffic_signals,4,,,POINT (-73.9891378 40.7413643)
42428206,40.7422186,-73.9891071,traffic_signals,3,,,POINT (-73.9891071 40.7422186)
42428212,40.7430428,-73.9891631,traffic_signals,3,,,POINT (-73.9891631 40.7430428)
42428220,40.7445363,-73.9888917,traffic_signals,3,,,POINT (-73.9888917 40.7445363)
42428223,40.7452886,-73.9887531,traffic_signals,4,,,POINT (-73.9887531 40.7452886)
42428227,40.7467961,-73.9884727,traffic_signals,4,,,POINT (-73.9884727 40.7467961)
42428232,40.7475458,-73.9883326,traffic_signals,4,,,POINT (-73.9883326 40.7475458)
42428253,40.7506824,-73.9878205,traffic_signals,3,,,POINT (-73.9878205 40.7506824)
42428258,40.751444,-73.9876732,traffic_signals,4,,,POINT (-73.9876732 40.751444)
42428264,40.7521844,-73.9875229,traffic_signals,4,,,POINT (-73.9875229 40.7521844)
42428268,40.7528837,-73.9873365,traffic_signals,4,,,POINT (-73.9873365 40.7528837)
42428272,40.7536222,-73.9870696,traffic_signals,3,,,POINT (-73.9870696 40.7536222)
42428277,40.7543353,-73.9868976,traffic_signals,3,,,POINT (-73.9868976 40.7543353)
42428283,40.7550539,-73.9866712,traffic_signals,4,,,POINT (-73.9866712 40.7550539)
42428287,40.7558193,-73.9864249,traffic_signals,3,,,POINT (-73.9864249 40.7558193)
42428297,40.7579634,-73.9855335,traffic_signals,4,,,POINT (-73.9855335 40.7579634)
42428303,40.759438,-73.9851371,traffic_signals,3,,,POINT (-73.9851371 40.759438)
42428305,40.7601131,-73.9848206,traffic_signals,4,,,POINT (-73.9848206 40.7601131)
42428307,40.760804,-73.9845206,traffic_signals,4,,,POINT (-73.9845206 40.760804)
42428308,40.7614503,-73.9840983,traffic_signals,4,,,POINT (-73.9840983 40.7614503)
42428310,40.7620858,-73.9836782,traffic_signals,4,,,POINT (-73.9836782 40.7620858)
42428312,40.7627381,-73.9832608,traffic_signals,4,,,POINT (-73.9832608 40.7627381)
42428313,40.763382,-73.9829033,traffic_signals,4,,,POINT (-73.9829033 40.763382)
42428315,40.764058,-73.9825176,traffic_signals,4,,,POINT (-73.9825176 40.764058)
42428321,40.7647849,-73.9822551,traffic_signals,4,,,POINT (-73.9822551 40.7647849)
42428328,40.7654683,-73.9820384,traffic_signals,4,,,POINT (-73.9820384 40.7654683)
42428329,40.7663007,-73.9818927,traffic_signals,4,,,POINT (-73.9818927 40.7663007)
42428332,40.7671354,-73.9817493,traffic_signals,4,,,POINT (-73.9817493 40.7671354)
42428402,40.7146811,-74.0058866,traffic_signals,4,,,POINT (-74.0058866 40.7146811)
42428405,40.715236,-74.00542,traffic_signals,4,,,POINT (-74.00542 40.715236)
