u,v,key,osmid,highway,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction,Groups
122130475,122130523,0,500852865,tertiary,North Waco Street,True,False,438.4513114409964,572.1031431948502,9.816327000784089,0.0049101491086817,"LINESTRING (-97.3418972 37.6938568, -97.3417947 37.6939877, -97.3416667 37.6941245, -97.3415411 37.6942531, -97.3413715 37.6944784, -97.3412497 37.6946864, -97.3411582 37.6948615, -97.3410839 37.6950712, -97.3410352 37.6952177, -97.3409788 37.6954405, -97.340967 37.695643, -97.340974 37.6959027, -97.3410045 37.6961867, -97.3410289 37.6962779, -97.3410805 37.6964784, -97.3410871 37.6965043, -97.3411664 37.6967254, -97.3412723 37.69695, -97.3413813 37.6971213, -97.3414217 37.6971848, -97.3415668 37.6974135, -97.3416341 37.6975197)",,,,,,,,B
122130523,5515677764,0,13274620,residential,West Murdock Street,False,False,16.851851524784678,16.851851524784678,1.5232540340989893,0.0226742670039752,"LINESTRING (-97.3416341 37.6975197, -97.3418256 37.6975168)",,,,,,,,C
122130523,122521748,0,13274620,residential,West Murdock Street,False,True,80.25400662165686,80.25400662165686,1.974945933277924,0.0300166838444167,"LINESTRING (-97.3416341 37.6975197, -97.3414363 37.697518, -97.3413723 37.6975174, -97.3411631 37.6975156, -97.340805 37.6975125, -97.340722 37.697513)",,,,,,,,C
122130523,122130527,0,500852865,tertiary,North Waco Street,True,False,53.47305893092927,65.00718091770386,2.9199529751558737,0.0176100628930817,"LINESTRING (-97.3416341 37.6975197, -97.3417108 37.697645, -97.3418342 37.6978463, -97.3419347 37.6979334)",,,,,,,,B
122130527,5515677764,0,574674699,tertiary,North Waco Street,True,False,48.15532939291919,70.32491045571395,2.8928503947510027,0.0153428904088595,"LINESTRING (-97.3419347 37.6979334, -97.3419517 37.6978277, -97.3419296 37.6977732, -97.341869 37.6976237, -97.3418256 37.6975168)",,,,,,,,B
122130527,122130531,0,574674704,tertiary,North Waco Street,False,False,104.7788080758036,104.7788080758036,1.6336234717355058,0.017428843076713,"LINESTRING (-97.3419347 37.6979334, -97.3419447 37.6979671, -97.3419811 37.6980891, -97.3419827 37.698105, -97.3419977 37.6982525, -97.3419978 37.6984697, -97.3419981 37.6988709)",,,,,,,,B
122130531,5515677804,0,574674704,tertiary,North Waco Street,False,False,6.183072648369408,6.183072648369408,1.5393669812072062,0.0173695017580864,"LINESTRING (-97.3419981 37.6988709, -97.3419971 37.6989265)",,,,,,,,B
122130531,122360023,0,13269486,residential,West 8th Street North,False,True,115.3542967916406,115.3542967916406,1.7260100215031395,0.0001615362210838,"LINESTRING (-97.3419981 37.6988709, -97.3413644 37.6988736, -97.3409882 37.6988752, -97.3408312 37.6988759, -97.3407413 37.6988763, -97.340687 37.698876)",,,,,,,,C
122130531,122130527,0,574674704,tertiary,North Waco Street,False,True,104.7788080758036,104.7788080758036,1.6336234717355056,0.0151616705924907,"LINESTRING (-97.3419981 37.6988709, -97.3419978 37.6984697, -97.3419977 37.6982525, -97.3419827 37.698105, -97.3419811 37.6980891, -97.3419447 37.6979671, -97.3419347 37.6979334)",,,,,,,,B
122130537,122359970,0,13269627,residential,West 9th Street North,False,True,104.495884420632,104.495884420632,1.4986233095996406,0.0003829221931447,"LINESTRING (-97.341974 37.700262, -97.3413617 37.7002645, -97.3407863 37.700268)",,,,,,,,C
