osmid,y,x,highway,street_count,railway,geometry
195491916,-34.5808273,-58.4104057,traffic_signals,4,,POINT (-58.4104057 -34.5808273)
195491945,-34.592529,-58.401496,traffic_signals,4,,POINT (-58.401496 -34.592529)
195498301,-34.5778413,-58.4086286,,3,,POINT (-58.4086286 -34.5778413)
195498328,-34.5767917,-58.4109478,,3,,POINT (-58.4109478 -34.5767917)
195498354,-34.5884125,-58.3987482,traffic_signals,4,,POINT (-58.3987482 -34.5884125)
195504911,-34.5819187,-58.4041736,,3,,POINT (-58.4041736 -34.5819187)
195504922,-34.5921885,-58.4233346,,4,,POINT (-58.4233346 -34.5921885)
195504938,-34.5945109,-58.4090068,traffic_signals,4,,POINT (-58.4090068 -34.5945109)
195504950,-34.5826342,-58.4047052,,3,,POINT (-58.4047052 -34.5826342)
195504966,-34.5967405,-58.4002868,traffic_signals,4,,POINT (-58.4002868 -34.5967405)
195504995,-34.5955434,-58.4167501,traffic_signals,4,,POINT (-58.4167501 -34.5955434)
195505017,-34.5917695,-58.4151544,traffic_signals,4,,POINT (-58.4151544 -34.5917695)
195505029,-34.5911244,-58.4145325,traffic_signals,4,,POINT (-58.4145325 -34.5911244)
195505051,-34.5904912,-58.4138949,traffic_signals,4,,POINT (-58.4138949 -34.5904912)
195505067,-34.5893031,-58.4127629,traffic_signals,4,,POINT (-58.4127629 -34.5893031)
195505079,-34.5940859,-58.416428,traffic_signals,4,,POINT (-58.416428 -34.5940859)
195505088,-34.5907728,-58.4105085,traffic_signals,4,,POINT (-58.4105085 -34.5907728)
195505091,-34.5956568,-58.4096331,traffic_signals,4,,POINT (-58.4096331 -34.5956568)
195505099,-34.5961478,-58.408462,traffic_signals,4,,POINT (-58.408462 -34.5961478)
195505114,-34.5972357,-58.4051921,traffic_signals,4,,POINT (-58.4051921 -34.5972357)
195505147,-34.5975283,-58.4034405,traffic_signals,4,,POINT (-58.4034405 -34.5975283)
195505214,-34.5977643,-58.4020983,traffic_signals,4,,POINT (-58.4020983 -34.5977643)
195508514,-34.5928066,-58.4097207,traffic_signals,4,,POINT (-58.4097207 -34.5928066)
195520022,-34.5865212,-58.4002329,traffic_signals,4,,POINT (-58.4002329 -34.5865212)
195520048,-34.5963228,-58.4016183,traffic_signals,4,,POINT (-58.4016183 -34.5963228)
195520058,-34.5969833,-58.4018405,,3,,POINT (-58.4018405 -34.5969833)
195520075,-34.5885764,-58.3958629,traffic_signals,4,,POINT (-58.3958629 -34.5885764)
195520099,-34.5966256,-58.407379,traffic_signals,4,,POINT (-58.407379 -34.5966256)
195520114,-34.5980049,-58.4006909,traffic_signals,4,,POINT (-58.4006909 -34.5980049)
195520127,-34.5764386,-58.4117419,,3,,POINT (-58.4117419 -34.5764386)
195532736,-34.5954257,-58.4126772,traffic_signals,4,,POINT (-58.4126772 -34.5954257)
195532750,-34.5941357,-58.3995154,traffic_signals,4,,POINT (-58.3995154 -34.5941357)
195552042,-34.5898708,-58.3986136,traffic_signals,4,,POINT (-58.3986136 -34.5898708)
195567802,-34.6089077,-58.3876206,traffic_signals,4,,POINT (-58.3876206 -34.6089077)
195568388,-34.6090929,-58.3891814,traffic_signals,4,,POINT (-58.3891814 -34.6090929)
195569915,-34.6030777,-58.3908648,,3,,POINT (-58.3908648 -34.6030777)
195569920,-34.6033342,-58.4051631,traffic_signals,4,,POINT (-58.4051631 -34.6033342)
195569923,-34.6033899,-58.4036375,traffic_signals,4,,POINT (-58.4036375 -34.6033899)
195569924,-34.6034228,-58.4022246,traffic_signals,4,,POINT (-58.4022246 -34.6034228)
195569926,-34.6034347,-58.400901,traffic_signals,4,,POINT (-58.400901 -34.6034347)
195569927,-34.603333,-58.3995654,traffic_signals,4,,POINT (-58.3995654 -34.603333)
195569931,-34.6031576,-58.3924038,traffic_signals,4,,POINT (-58.3924038 -34.6031576)
195570640,-34.6019697,-58.3926135,traffic_signals,4,,POINT (-58.3926135 -34.6019697)
195571465,-34.6106901,-58.3974783,traffic_signals,4,,POINT (-58.3974783 -34.6106901)
195571467,-34.6095779,-58.397577,traffic_signals,4,,POINT (-58.397577 -34.6095779)
195571469,-34.6072531,-58.3978621,traffic_signals,4,,POINT (-58.3978621 -34.6072531)
195572096,-34.6060248,-58.3979907,traffic_signals,4,,POINT (-58.3979907 -34.6060248)
195572101,-34.6061016,-58.3993525,traffic_signals,4,,POINT (-58.3993525 -34.6061016)
195573170,-34.6046327,-58.3994819,traffic_signals,4,,POINT (-58.3994819 -34.6046327)
195574366,-34.6126933,-58.410073,traffic_signals,4,,POINT (-58.410073 -34.6126933)
195575907,-34.611867,-58.381238,,4,,POINT (-58.381238 -34.611867)
195575909,-34.612273,-58.386163,traffic_signals,4,,POINT (-58.386163 -34.612273)
195575911,-34.6126495,-58.3917657,traffic_signals,4,,POINT (-58.3917657 -34.6126495)
195575912,-34.6136135,-58.4065362,traffic_signals,4,,POINT (-58.4065362 -34.6136135)
195576804,-34.615272,-58.3812404,traffic_signals,4,,POINT (-58.3812404 -34.615272)
195576805,-34.6156895,-58.3916595,traffic_signals,4,,POINT (-58.3916595 -34.6156895)
