u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83693694,83693684,0,1122517082,secondary,4,25 mph,2100 South,False,False,8.418908822248007,8.418908822248007,1.5005012801144777,0.0022152801343912,"LINESTRING (-111.864017 40.7254011, -111.8639171 40.7254003)",,,,,,,B
83693694,83656426,0,10146646,residential,2,20 mph,Lincoln Street,False,False,169.6129518084704,169.61295180847043,1.3610438563171745,0.0002927814607826,"LINESTRING (-111.864017 40.7254011, -111.864017 40.7253101, -111.864018 40.725275, -111.8640239 40.7248582, -111.8640265 40.7246203, -111.8640329 40.7239777, -111.8640334 40.7239511, -111.8640342 40.7238758)",,,,,,,C
83693694,83548419,0,"[1122517082, 1122517083, 198549620, 503769063]",secondary,"['4', '5']",25 mph,2100 South,False,True,112.18844872621396,112.18844872621398,1.683255657085503,0.0038801451816448,"LINESTRING (-111.864017 40.7254011, -111.8640891 40.7254013, -111.864205 40.7254015, -111.864374 40.7254019, -111.864536 40.7254022, -111.864596 40.7254024, -111.8648382 40.7254029, -111.8652316 40.725404, -111.8653483 40.7254053)",,,,,,,B
83694445,83594662,0,10146760,residential,2,20 mph,Hyde Park Way,False,True,95.36253453528715,95.36253453528718,1.016000585113779,0.0005925924884508,"LINESTRING (-111.9416854 40.7977639, -111.9416839 40.7976833, -111.9416877 40.7969516, -111.9416881 40.7969063)",,,,,,,C
83694445,83591229,0,10149748,residential,2,20 mph,1300 North,False,True,48.09209121627074,48.09209121627074,1.0569458504259333,0.000888625123918,"LINESTRING (-111.9416854 40.7977639, -111.9414821 40.797766, -111.9411141 40.797765)",,,,,,,C
83695548,83647505,0,10146916,residential,2,20 mph,1200 North,False,False,51.85526075199064,51.85526075199064,1.6646047339620615,0.0012239354643582,"LINESTRING (-111.925584 40.7948991, -111.925694 40.7948991, -111.9262 40.7948988)",,,,,,,C
83695548,83630438,0,10146916,residential,2,20 mph,1200 North,False,True,57.07445830625762,57.07445830625762,1.702413817291188,0.0022609723191472,"LINESTRING (-111.925584 40.7948991, -111.925491 40.7948992, -111.925 40.7948994, -111.924906 40.7948994)",,,,,,,C
83695548,4644803524,0,10149711,other,2,20 mph,1200 West,False,False,293.1858231519284,293.18582315192833,1.5105511778077103,0.0002144896595949,"LINESTRING (-111.925584 40.7948991, -111.925585 40.7949736, -111.9255852 40.7949998, -111.9255993 40.7970155, -111.9255898 40.7971301, -111.9255618 40.7972494, -111.925556 40.7973679, -111.925559 40.7974647, -111.9255623 40.7975335)",,,,,,,C
83695548,83595456,0,10149711,other,2,20 mph,1200 West,False,True,427.4256158174104,427.42561581741046,1.764838005349984,0.0001319801182759,"LINESTRING (-111.925584 40.7948991, -111.925584 40.7948302, -111.9255845 40.7948054, -111.9255845 40.7946722, -111.9255845 40.7931873, -111.9255845 40.7930249, -111.9255845 40.7927747, -111.9255845 40.791813, -111.9255341 40.7914102, -111.925535 40.7911965, -111.925535 40.7911717, -111.9255323 40.791057)",,,,,,,C
83695551,83577172,0,10146916,residential,2,20 mph,1200 North,False,True,81.10802208515564,81.10802208515564,1.589454197866017,0.0010641006872983,"LINESTRING (-111.9301285 40.794897, -111.930037 40.794897, -111.929243 40.7948974, -111.929165 40.7948974)",,,,,,,C
83695551,83561842,0,"[683128474, 10148207]",residential,2,20 mph,Colorado Street,False,False,201.59699510424835,201.59699510424835,1.4483555402721549,0.0012906284801847,"LINESTRING (-111.9301285 40.794897, -111.9301251 40.796104, -111.930125 40.7962056, -111.930125 40.79671)",,,,,,,C
