osmid,y,x,street_count,highway,railway,geometry
2202347631,-22.9043544,-43.2055653,3,,,POINT (-43.2055653 -22.9043544)
2202347632,-22.905995,-43.2068781,3,,,POINT (-43.2068781 -22.905995)
2202347642,-22.9032623,-43.2043536,3,,,POINT (-43.2043536 -22.9032623)
2202389379,-22.9029399,-43.1993374,3,,,POINT (-43.1993374 -22.9029399)
2202402746,-22.9036595,-43.2039471,1,,,POINT (-43.2039471 -22.9036595)
2202402749,-22.9043914,-43.2038708,3,,,POINT (-43.2038708 -22.9043914)
2202459268,-22.9012737,-43.2000762,4,,,POINT (-43.2000762 -22.9012737)
2202459271,-22.9014704,-43.1981129,3,,,POINT (-43.1981129 -22.9014704)
2202459281,-22.9010151,-43.1995042,3,,,POINT (-43.1995042 -22.9010151)
2202459311,-22.9015221,-43.1999178,1,,,POINT (-43.1999178 -22.9015221)
2202478191,-22.8940329,-43.1919943,3,,,POINT (-43.1919943 -22.8940329)
2202478194,-22.8943834,-43.1914402,3,,,POINT (-43.1914402 -22.8943834)
2202478195,-22.8951197,-43.1940003,3,,,POINT (-43.1940003 -22.8951197)
2202478199,-22.8954361,-43.1898179,2,,tram_level_crossing,POINT (-43.1898179 -22.8954361)
2202478203,-22.895111,-43.1912886,3,,,POINT (-43.1912886 -22.895111)
2202478207,-22.8948913,-43.1931212,3,,,POINT (-43.1931212 -22.8948913)
2208542603,-22.8824893,-43.2466443,3,,,POINT (-43.2466443 -22.8824893)
2210045717,-22.8810723,-43.2348517,3,,,POINT (-43.2348517 -22.8810723)
2210045724,-22.8808491,-43.2346135,3,,,POINT (-43.2346135 -22.8808491)
2210049376,-22.8787336,-43.2290735,3,,,POINT (-43.2290735 -22.8787336)
2210049420,-22.8801483,-43.2248182,4,,,POINT (-43.2248182 -22.8801483)
2210049441,-22.8793692,-43.2277894,3,,,POINT (-43.2277894 -22.8793692)
2210049452,-22.8800896,-43.2253781,3,,,POINT (-43.2253781 -22.8800896)
2210085164,-22.8827503,-43.236667,3,,,POINT (-43.236667 -22.8827503)
2210085165,-22.883272,-43.2366903,3,,,POINT (-43.2366903 -22.883272)
2210085555,-22.8825721,-43.2368824,3,,,POINT (-43.2368824 -22.8825721)
2210087969,-22.8804257,-43.224788,3,,,POINT (-43.224788 -22.8804257)
2210087972,-22.8789306,-43.2244675,3,,,POINT (-43.2244675 -22.8789306)
2210088275,-22.8776024,-43.216153,3,,,POINT (-43.216153 -22.8776024)
2223044280,-22.9030601,-43.2356074,3,,,POINT (-43.2356074 -22.9030601)
2223044320,-22.9058555,-43.2326391,3,,,POINT (-43.2326391 -22.9058555)
2223044324,-22.9044768,-43.2323501,3,,,POINT (-43.2323501 -22.9044768)
2223044338,-22.9025658,-43.2371172,4,,,POINT (-43.2371172 -22.9025658)
2239086688,-22.9048368,-43.1830637,3,,,POINT (-43.1830637 -22.9048368)
2239086695,-22.9051376,-43.1839927,3,,,POINT (-43.1839927 -22.9051376)
2239398614,-22.9252434,-43.1805731,3,,,POINT (-43.1805731 -22.9252434)
2246481150,-22.9246193,-43.2362822,3,,,POINT (-43.2362822 -22.9246193)
2260214602,-22.8831715,-43.246204,3,,,POINT (-43.246204 -22.8831715)
2260214642,-22.882518,-43.2448054,1,,,POINT (-43.2448054 -22.882518)
2260214707,-22.8829162,-43.2467611,1,,,POINT (-43.2467611 -22.8829162)
2261534479,-22.8831051,-43.2459874,3,,,POINT (-43.2459874 -22.8831051)
2283565522,-22.9041839,-43.1989476,4,,,POINT (-43.1989476 -22.9041839)
2283565687,-22.9118941,-43.1966434,3,,,POINT (-43.1966434 -22.9118941)
2283565708,-22.912569,-43.2409325,4,,,POINT (-43.2409325 -22.912569)
2283565713,-22.9151544,-43.2421384,4,,,POINT (-43.2421384 -22.9151544)
2283565718,-22.9158469,-43.2458367,4,,,POINT (-43.2458367 -22.9158469)
2283565719,-22.9161666,-43.2476822,4,,,POINT (-43.2476822 -22.9161666)
2283565748,-22.9195152,-43.1918035,3,,,POINT (-43.1918035 -22.9195152)
2283565768,-22.920134,-43.1877427,3,,,POINT (-43.1877427 -22.920134)
2283565788,-22.921557,-43.2464415,3,,,POINT (-43.2464415 -22.921557)
2283565855,-22.9222851,-43.2217511,3,,,POINT (-43.2217511 -22.9222851)
2283565858,-22.923881,-43.1873742,3,,,POINT (-43.1873742 -22.923881)
2283565859,-22.9246981,-43.220412,3,,,POINT (-43.220412 -22.9246981)
2283565947,-22.9404455,-43.1914479,3,,,POINT (-43.1914479 -22.9404455)
2283565999,-22.9416392,-43.1929377,3,,,POINT (-43.1929377 -22.9416392)
2296508758,-22.8999375,-43.1925114,1,,,POINT (-43.1925114 -22.8999375)
2296508760,-22.9012643,-43.1910388,3,,,POINT (-43.1910388 -22.9012643)
2296515948,-22.8982373,-43.1888085,1,,,POINT (-43.1888085 -22.8982373)
2296515951,-22.898118,-43.188904,1,,,POINT (-43.188904 -22.898118)
2296522791,-22.8978567,-43.1921024,1,,,POINT (-43.1921024 -22.8978567)
2296522794,-22.8978498,-43.1927536,1,,,POINT (-43.1927536 -22.8978498)
2296522816,-22.8978302,-43.1918545,3,,,POINT (-43.1918545 -22.8978302)
2296522825,-22.8971933,-43.1919463,3,,,POINT (-43.1919463 -22.8971933)
2296532735,-22.8980704,-43.1894826,1,,,POINT (-43.1894826 -22.8980704)
2296533584,-22.8979609,-43.1882939,1,,,POINT (-43.1882939 -22.8979609)
