osmid,y,x,highway,street_count,ref,junction,geometry
250842102,40.4379262,-3.6573448,,3,,,POINT (-3.6573448 40.4379262)
250887017,40.3876374,-3.66023,,4,,,POINT (-3.66023 40.3876374)
250887236,40.3853014,-3.6629381,,3,,,POINT (-3.6629381 40.3853014)
250887239,40.3872267,-3.6614699,,3,,,POINT (-3.6614699 40.3872267)
250887557,40.3863618,-3.6641193,crossing,4,,,POINT (-3.6641193 40.3863618)
250887922,40.3863802,-3.6652004,,4,,,POINT (-3.6652004 40.3863802)
250888505,40.3826871,-3.6685143,,4,,,POINT (-3.6685143 40.3826871)
250888585,40.3822655,-3.6637534,,3,,,POINT (-3.6637534 40.3822655)
250888587,40.3812812,-3.665081,,4,,,POINT (-3.665081 40.3812812)
250888588,40.3803961,-3.6662199,,3,,,POINT (-3.6662199 40.3803961)
250888667,40.380275,-3.6660628,,3,,,POINT (-3.6660628 40.380275)
250888668,40.3811656,-3.6649207,,4,,,POINT (-3.6649207 40.3811656)
250888671,40.3832074,-3.6626261,,4,,,POINT (-3.6626261 40.3832074)
250888947,40.3894378,-3.6676246,,3,,,POINT (-3.6676246 40.3894378)
250888948,40.3893258,-3.6671161,,4,,,POINT (-3.6671161 40.3893258)
250888949,40.3892328,-3.6665063,,4,,,POINT (-3.6665063 40.3892328)
250888967,40.389733,-3.6685185,,3,,,POINT (-3.6685185 40.389733)
250888968,40.3900858,-3.669723,,3,,,POINT (-3.669723 40.3900858)
252796104,40.3851657,-3.7118568,,4,,,POINT (-3.7118568 40.3851657)
252796105,40.3851828,-3.714207,traffic_signals,3,,,POINT (-3.714207 40.3851828)
252796106,40.3851998,-3.7159995,,3,,,POINT (-3.7159995 40.3851998)
252796107,40.3852099,-3.7168306,crossing,3,,,POINT (-3.7168306 40.3852099)
252796108,40.3853178,-3.7170912,,3,,,POINT (-3.7170912 40.3853178)
252796109,40.38542,-3.7171011,,3,,,POINT (-3.7171011 40.38542)
252796111,40.3855924,-3.7174124,,3,,,POINT (-3.7174124 40.3855924)
252796112,40.3855576,-3.7175935,,3,,,POINT (-3.7175935 40.3855576)
252796114,40.3851316,-3.718019,,3,,,POINT (-3.718019 40.3851316)
252796116,40.3851109,-3.7180132,,3,,,POINT (-3.7180132 40.3851109)
252796117,40.3849492,-3.7178884,,3,,,POINT (-3.7178884 40.3849492)
252796120,40.3849386,-3.7174259,,3,,,POINT (-3.7174259 40.3849386)
252796122,40.3851419,-3.7171733,,3,,,POINT (-3.7171733 40.3851419)
252798383,40.3874213,-3.7096705,,3,,,POINT (-3.7096705 40.3874213)
252798384,40.3878226,-3.7113164,,3,,,POINT (-3.7113164 40.3878226)
252798386,40.3877388,-3.7124505,,3,,,POINT (-3.7124505 40.3877388)
252798388,40.3872912,-3.7124916,,3,,,POINT (-3.7124916 40.3872912)
252798389,40.3869187,-3.7125341,,3,,,POINT (-3.7125341 40.3869187)
252798390,40.3865682,-3.7125813,,3,,,POINT (-3.7125813 40.3865682)
252798392,40.3860657,-3.7124889,,4,,,POINT (-3.7124889 40.3860657)
252798393,40.3856964,-3.7122203,,4,,,POINT (-3.7122203 40.3856964)
252798394,40.3848227,-3.71159,,3,,,POINT (-3.71159 40.3848227)
