osmid,y,x,highway,street_count,ref,junction,geometry
4464206530,-23.5219189,-46.6739345,,3,,,POINT (-46.6739345 -23.5219189)
4477205579,-23.5580233,-46.6673958,,3,,,POINT (-46.6673958 -23.5580233)
4484722791,-23.5155097,-46.6714817,,3,,,POINT (-46.6714817 -23.5155097)
4484722793,-23.5156979,-46.6715359,,3,,,POINT (-46.6715359 -23.5156979)
4487835919,-23.517984,-46.6510411,,3,,,POINT (-46.6510411 -23.517984)
4487835920,-23.5182561,-46.6508676,,3,,,POINT (-46.6508676 -23.5182561)
4487835924,-23.5186682,-46.6506247,,3,,,POINT (-46.6506247 -23.5186682)
4487835928,-23.5191095,-46.6501526,,3,,,POINT (-46.6501526 -23.5191095)
4487835929,-23.5192029,-46.6503015,,3,,,POINT (-46.6503015 -23.5192029)
4487835932,-23.5192455,-46.6503704,,1,,,POINT (-46.6503704 -23.5192455)
4487835969,-23.5202392,-46.6444301,,3,,,POINT (-46.6444301 -23.5202392)
4487835994,-23.5226127,-46.6381941,,3,,,POINT (-46.6381941 -23.5226127)
4487836000,-23.5227845,-46.6385488,,3,,,POINT (-46.6385488 -23.5227845)
4487836016,-23.5238771,-46.6393058,,3,,,POINT (-46.6393058 -23.5238771)
4487836017,-23.5241239,-46.6390339,,3,,,POINT (-46.6390339 -23.5241239)
4487836028,-23.5270742,-46.6289526,,1,,,POINT (-46.6289526 -23.5270742)
4487836035,-23.5276654,-46.6308252,,3,,,POINT (-46.6308252 -23.5276654)
4487836103,-23.5365035,-46.6288513,turning_circle,1,,,POINT (-46.6288513 -23.5365035)
4488891222,-23.5323139,-46.5970861,,3,,,POINT (-46.5970861 -23.5323139)
4488891226,-23.5328499,-46.599381,,1,,,POINT (-46.599381 -23.5328499)
4489538856,-23.5440947,-46.5975847,,1,,,POINT (-46.5975847 -23.5440947)
4489538857,-23.5441558,-46.598101,,1,,,POINT (-46.598101 -23.5441558)
4489562744,-23.5344984,-46.6072205,,3,,,POINT (-46.6072205 -23.5344984)
4489562746,-23.5351034,-46.6078287,turning_circle,1,,,POINT (-46.6078287 -23.5351034)
4489610012,-23.5357864,-46.5950768,,3,,,POINT (-46.5950768 -23.5357864)
4489610013,-23.5359152,-46.5998771,,3,,,POINT (-46.5998771 -23.5359152)
4489610022,-23.5361682,-46.5997637,,3,,,POINT (-46.5997637 -23.5361682)
4491497800,-23.522621,-46.653671,,1,,,POINT (-46.653671 -23.522621)
4491497802,-23.5227594,-46.654208,,3,,,POINT (-46.654208 -23.5227594)
4491518703,-23.5470631,-46.609428,,3,,,POINT (-46.609428 -23.5470631)
4491518706,-23.5476783,-46.6091391,,1,,,POINT (-46.6091391 -23.5476783)
4491518707,-23.5479259,-46.6096271,,3,,,POINT (-46.6096271 -23.5479259)
4491518708,-23.5480963,-46.608508,,3,,,POINT (-46.608508 -23.5480963)
4491518709,-23.5486236,-46.6080504,,1,,,POINT (-46.6080504 -23.5486236)
4491518715,-23.5509271,-46.6107744,,3,,,POINT (-46.6107744 -23.5509271)
4491536405,-23.554101,-46.5947348,,3,,,POINT (-46.5947348 -23.554101)
4491547829,-23.5537091,-46.6090033,,3,,,POINT (-46.6090033 -23.5537091)
4491547830,-23.5541371,-46.609044,,3,,,POINT (-46.609044 -23.5541371)
4491551140,-23.5561347,-46.602804,,3,,,POINT (-46.602804 -23.5561347)
4491551146,-23.557771,-46.6018958,,3,,,POINT (-46.6018958 -23.557771)
4493535586,-23.5465217,-46.597904,,3,,,POINT (-46.597904 -23.5465217)
4493535992,-23.5467743,-46.5986717,,3,,,POINT (-46.5986717 -23.5467743)
4493535998,-23.546807,-46.5977902,,3,,,POINT (-46.5977902 -23.546807)
4499744451,-23.5132426,-46.6247575,,3,,,POINT (-46.6247575 -23.5132426)
4499744465,-23.5134166,-46.6240212,,3,,,POINT (-46.6240212 -23.5134166)
4499744470,-23.5135524,-46.6244022,,3,,,POINT (-46.6244022 -23.5135524)
4501344723,-23.5344249,-46.6358999,,3,,,POINT (-46.6358999 -23.5344249)
4501345628,-23.5334918,-46.6278469,,3,,,POINT (-46.6278469 -23.5334918)
4502865669,-23.5215039,-46.6214939,,1,,,POINT (-46.6214939 -23.5215039)
4502865675,-23.5238366,-46.6198578,,3,,,POINT (-46.6198578 -23.5238366)
4502887380,-23.52546,-46.6118602,turning_circle,1,,,POINT (-46.6118602 -23.52546)
4503184057,-23.5402651,-46.6302319,,3,,,POINT (-46.6302319 -23.5402651)
4503184058,-23.5400248,-46.630244,,3,,,POINT (-46.630244 -23.5400248)
4503184059,-23.53873,-46.6315317,turning_circle,1,,,POINT (-46.6315317 -23.53873)
4503211022,-23.53927,-46.6328963,traffic_signals,3,,,POINT (-46.6328963 -23.53927)
4503413644,-23.5289356,-46.6442364,,1,,,POINT (-46.6442364 -23.5289356)
4503462310,-23.529441,-46.6632975,,3,,,POINT (-46.6632975 -23.529441)
4503499051,-23.5510775,-46.6596077,,3,,,POINT (-46.6596077 -23.5510775)
4503509300,-23.5500175,-46.6618323,,3,,,POINT (-46.6618323 -23.5500175)
4503512765,-23.545392,-46.6575393,traffic_signals,4,,,POINT (-46.6575393 -23.545392)
4503512770,-23.5465011,-46.6580916,traffic_signals,4,,,POINT (-46.6580916 -23.5465011)
4503629301,-23.5405067,-46.6451144,,3,,,POINT (-46.6451144 -23.5405067)
4503629306,-23.5417811,-46.6460962,,3,,,POINT (-46.6460962 -23.5417811)
4505383253,-23.5384255,-46.6484501,,3,,,POINT (-46.6484501 -23.5384255)
4505383403,-23.531984,-46.6619302,,3,,,POINT (-46.6619302 -23.531984)
