osmid,y,x,street_count,highway,junction,railway,geometry
160030886,48.8599923,2.3217179,4,,,,POINT (2.3217179 48.8599923)
160034963,48.8595512,2.329285,4,,,,POINT (2.329285 48.8595512)
160674357,48.8417131,2.2885508,3,,,,POINT (2.2885508 48.8417131)
162304831,48.8258438,2.3002826,5,,,,POINT (2.3002826 48.8258438)
162314294,48.8263766,2.2969389,3,motorway_junction,,,POINT (2.2969389 48.8263766)
162320884,48.8245875,2.3039987,5,traffic_signals,,,POINT (2.3039987 48.8245875)
162329176,48.8254424,2.3023173,4,traffic_signals,,,POINT (2.3023173 48.8254424)
164096627,48.8446607,2.3095741,3,traffic_signals,,,POINT (2.3095741 48.8446607)
164102622,48.8445311,2.3091498,3,,,,POINT (2.3091498 48.8445311)
164102984,48.8444136,2.3087632,3,,,,POINT (2.3087632 48.8444136)
164132298,48.8563955,2.3253757,3,,,,POINT (2.3253757 48.8563955)
164400409,48.8298378,2.3870292,3,,,,POINT (2.3870292 48.8298378)
164401621,48.8352404,2.38012,3,,,,POINT (2.38012 48.8352404)
164404052,48.8417739,2.3725936,3,motorway_junction,,,POINT (2.3725936 48.8417739)
164404057,48.844481,2.3691088,3,traffic_signals,,,POINT (2.3691088 48.844481)
164407726,48.8417484,2.372414,3,,,,POINT (2.372414 48.8417484)
164409247,48.8371386,2.3775682,3,,,,POINT (2.3775682 48.8371386)
164410285,48.8350072,2.3802768,3,,,,POINT (2.3802768 48.8350072)
164431842,48.8273279,2.3902264,3,,,,POINT (2.3902264 48.8273279)
164439004,48.8280665,2.3901854,4,,,,POINT (2.3901854 48.8280665)
164440639,48.8275604,2.3902923,3,,,,POINT (2.3902923 48.8275604)
164446029,48.8294774,2.3909024,3,,,,POINT (2.3909024 48.8294774)
164449838,48.8280303,2.3924407,5,,,,POINT (2.3924407 48.8280303)
164456014,48.8281913,2.392153,3,,,,POINT (2.392153 48.8281913)
164456617,48.8291579,2.3907038,3,,,,POINT (2.3907038 48.8291579)
164456619,48.8293975,2.3904151,3,traffic_signals,,,POINT (2.3904151 48.8293975)
164456805,48.8293817,2.3907007,3,,,,POINT (2.3907007 48.8293817)
164460119,48.8265092,2.3916213,3,,,,POINT (2.3916213 48.8265092)
164460128,48.8268046,2.3924712,4,,,,POINT (2.3924712 48.8268046)
164460132,48.8275955,2.3929248,3,,,,POINT (2.3929248 48.8275955)
164463699,48.8278876,2.3896026,3,,,,POINT (2.3896026 48.8278876)
164466087,48.8274456,2.3892676,3,,,,POINT (2.3892676 48.8274456)
166203717,48.8351503,2.3077904,3,,,,POINT (2.3077904 48.8351503)
166214859,48.8296455,2.3869261,3,,,,POINT (2.3869261 48.8296455)
166231858,48.8243146,2.3946967,3,,,,POINT (2.3946967 48.8243146)
166334075,48.8299058,2.3341749,3,traffic_signals,,,POINT (2.3341749 48.8299058)
166334525,48.8320621,2.3395597,3,traffic_signals;crossing,,,POINT (2.3395597 48.8320621)
166334756,48.8320689,2.3353577,3,,,,POINT (2.3353577 48.8320689)
166334988,48.831425,2.3380319,3,,,,POINT (2.3380319 48.831425)
166335615,48.8308933,2.3367227,3,,,,POINT (2.3367227 48.8308933)
166336183,48.8303723,2.3366892,3,,,,POINT (2.3366892 48.8303723)
166338742,48.8287858,2.347664,3,,,,POINT (2.347664 48.8287858)
166338743,48.8263822,2.3465548,3,,,,POINT (2.3465548 48.8263822)
166338964,48.8275657,2.3471028,3,,,,POINT (2.3471028 48.8275657)
168363888,48.8230115,2.3582647,3,,,,POINT (2.3582647 48.8230115)
169310811,48.8755408,2.3642464,3,,,,POINT (2.3642464 48.8755408)
169310982,48.8745681,2.3662509,3,,,,POINT (2.3662509 48.8745681)
169314963,48.8747071,2.3608203,3,,,,POINT (2.3608203 48.8747071)
169315420,48.8743119,2.3586113,3,,,,POINT (2.3586113 48.8743119)
169317179,48.8740354,2.3448957,4,,,,POINT (2.3448957 48.8740354)
169318293,48.8729531,2.3430825,3,traffic_signals,,,POINT (2.3430825 48.8729531)
169318491,48.8732126,2.3409462,3,,,,POINT (2.3409462 48.8732126)
169319602,48.8715745,2.3338944,3,,,,POINT (2.3338944 48.8715745)
169320237,48.873198,2.3313947,4,,,,POINT (2.3313947 48.873198)
169320939,48.8741394,2.3258293,3,traffic_signals,,,POINT (2.3258293 48.8741394)
169320944,48.8742207,2.3297781,3,,,,POINT (2.3297781 48.8742207)
169320949,48.8741823,2.3269246,5,traffic_signals,,,POINT (2.3269246 48.8741823)
169322498,48.874623,2.3313584,4,traffic_signals,,,POINT (2.3313584 48.874623)
169322499,48.874598,2.332582,3,,,,POINT (2.332582 48.874598)
169322751,48.8750169,2.331406,4,,,,POINT (2.331406 48.8750169)
169322949,48.8746772,2.3303354,3,,,,POINT (2.3303354 48.8746772)
169325314,48.8751913,2.3163469,4,,,,POINT (2.3163469 48.8751913)
169325341,48.8756735,2.3188743,3,traffic_signals,,,POINT (2.3188743 48.8756735)
169325763,48.8755817,2.3183596,3,,,,POINT (2.3183596 48.8755817)
169325938,48.8752707,2.3184155,3,,,,POINT (2.3184155 48.8752707)
169326630,48.8728282,2.3100572,3,,,,POINT (2.3100572 48.8728282)
169336088,48.8428671,2.327162,3,,,,POINT (2.327162 48.8428671)
169336089,48.8432297,2.3275823,3,,,,POINT (2.3275823 48.8432297)
169336597,48.8426818,2.3277199,3,,,,POINT (2.3277199 48.8426818)
173857075,48.823853,2.2930057,4,,,,POINT (2.2930057 48.823853)
173999126,48.8498057,2.2959973,3,,,,POINT (2.2959973 48.8498057)
174026196,48.8485204,2.3024605,4,,,,POINT (2.3024605 48.8485204)
174028241,48.8483805,2.3014539,3,,,,POINT (2.3014539 48.8483805)
174032004,48.8477593,2.3048302,3,,,,POINT (2.3048302 48.8477593)
174032471,48.8481071,2.3058246,3,,,,POINT (2.3058246 48.8481071)
174040131,48.8504487,2.3123909,3,,,,POINT (2.3123909 48.8504487)
174040240,48.8512422,2.314145,4,traffic_signals,,,POINT (2.314145 48.8512422)
174042261,48.8507265,2.306239,3,,,,POINT (2.306239 48.8507265)
174978251,48.8702038,2.3844291,3,,,,POINT (2.3844291 48.8702038)
174978253,48.8689818,2.3858439,3,,,,POINT (2.3858439 48.8689818)
174978470,48.8683269,2.3863317,3,,,,POINT (2.3863317 48.8683269)
174978695,48.8687813,2.3852985,3,,,,POINT (2.3852985 48.8687813)
174979269,48.8696554,2.3821879,4,,,,POINT (2.3821879 48.8696554)
174979273,48.8682578,2.3839858,3,,,,POINT (2.3839858 48.8682578)
174979761,48.8699465,2.3830542,3,,,,POINT (2.3830542 48.8699465)
174981131,48.8685261,2.3861923,3,,,,POINT (2.3861923 48.8685261)
174982973,48.8716428,2.3901825,3,,,,POINT (2.3901825 48.8716428)
174983938,48.8715578,2.381073,3,,,,POINT (2.381073 48.8715578)
174983940,48.8709222,2.3814725,4,,,,POINT (2.3814725 48.8709222)
