u,v,key,osmid,bridge,highway,lanes,oneway,reversed,length,maxspeed,geometry,Inverse SP,Cost of return,Edge Betweenness,name,ref,tunnel,access,width,junction,Groups
122807344,122807342,0,1027546859,,residential,2,False,True,78.2973676906544,,"LINESTRING (-118.2730806 34.0448717, -118.2726825 34.0446946, -118.2724872 34.0446077, -118.2723319 34.0445386)",78.2973676906544,1.6306332660062028,0.0078109575039984,West 12th Street,,,,,,C
122807347,122822431,0,165518742,,residential,2,False,True,95.05943937841216,,"LINESTRING (-118.2742531 34.0454001, -118.2737802 34.0461599)",95.05943937841216,1.6971218371891812,0.0004881371284781,Valencia Street,,,,,,C
122807347,123189494,0,165518742,,residential,2,False,False,93.91087320534275,,"LINESTRING (-118.2742531 34.0454001, -118.2745114 34.0450196, -118.2747528 34.044664)",93.91087320534275,1.685994968629579,0.0044695789911229,Valencia Street,,,,,,C
122807347,122674527,0,1027546859,,residential,2,False,False,185.20443484112727,,"LINESTRING (-118.2742531 34.0454001, -118.2745778 34.0455482, -118.2751739 34.0458201, -118.276014 34.0462034)",185.20443484112727,1.7026086158794769,0.002078400037773,West 12th Street,,,,,,C
122807347,122807344,0,1027546859,,residential,2,False,True,122.9737507184167,,"LINESTRING (-118.2742531 34.0454001, -118.273961 34.0452685, -118.2734337 34.0450308, -118.2730806 34.0448717)",122.9737507184167,1.8140305406927044,0.0081920944101369,West 12th Street,,,,,,C
122807354,123442591,0,13417137,,residential,2,False,False,182.30445994842296,,"LINESTRING (-118.2828893 34.0492801, -118.282924 34.0492236, -118.2838024 34.0478256)",182.30445994842296,1.863426851087316,0.0006910382087105,South Lake Street,,,,,,C
122807354,123442588,0,13417137,,residential,2,False,True,188.7716398323496,,"LINESTRING (-118.2828893 34.0492801, -118.2826828 34.0496009, -118.2822067 34.0503329, -118.2819742 34.0506904, -118.2819196 34.0507756)",188.7716398323496,1.7182991837831518,0.0005131547435806,South Lake Street,,,,,,C
122807354,122807356,0,1027546858,,residential,2,False,False,105.73208546905607,,"LINESTRING (-118.2828893 34.0492801, -118.2834147 34.0495255, -118.283834 34.0497387, -118.2838789 34.0497613)",105.73208546905607,2.125235060442792,0.0011735375647712,West 12th Street,,,,,,C
122807354,122656759,0,1027546858,,residential,2,False,True,118.41354513944292,,"LINESTRING (-118.2828893 34.0492801, -118.2823208 34.0490283, -118.28211 34.0489353, -118.28186 34.0488246, -118.2817558 34.0487781)",118.41354513944292,1.815775779764476,0.0013357997021611,West 12th Street,,,,,,C
122807356,122807358,0,417973822,,residential,2,True,False,30.562048834512765,,"LINESTRING (-118.2838789 34.0497613, -118.2839068 34.049792, -118.2840084 34.0498385, -118.2840271 34.0498427, -118.284075 34.0498534, -118.284172 34.0498745)",39.02707953074456,2.536731276414659,0.001822821021515,West 12th Street,,,,,,C
122807356,122807354,0,1027546858,,residential,2,False,True,105.73208546905607,,"LINESTRING (-118.2838789 34.0497613, -118.283834 34.0497387, -118.2834147 34.0495255, -118.2828893 34.0492801)",105.73208546905607,2.125235060442792,0.0011200961803974,West 12th Street,,,,,,C
122807356,122968296,0,1289114715,,residential,2,False,True,186.110234027744,,"LINESTRING (-118.2838789 34.0497613, -118.283861 34.0498325, -118.283858 34.0498499, -118.2835244 34.0503678, -118.2831167 34.0510018, -118.2830145 34.0511622, -118.283004 34.0511758, -118.282954 34.0512448)",186.1102340277439,2.1105571827994183,0.0007919895710606,South Grand View Street,,,,,,C
122807358,4184392673,0,1251520343,,secondary,4,False,False,11.308915304116333,35 mph,"LINESTRING (-118.284172 34.0498745, -118.284173 34.0497728)",11.308915304116333,1.2128209107628936,0.017894465833396,South Hoover Street,,,,,,B
122807358,1770584885,0,"[1084362485, 398757807]",,secondary,"['4', '5']",False,True,168.54824690053465,35 mph,"LINESTRING (-118.284172 34.0498745, -118.284173 34.0499449, -118.2841739 34.0499793, -118.2841764 34.0500807, -118.2841873 34.050635, -118.2841986 34.0512111, -118.2842002 34.0513901)",168.54824690053462,1.7601849617746053,0.0170097466514274,South Hoover Street,,,,,,B
122807516,122968298,0,398757827,,secondary,4,False,True,27.48181017775322,35 mph,"LINESTRING (-118.2841624 34.0491165, -118.2841758 34.0493634)",27.48181017775322,1.700712485709979,0.0180273645727784,South Hoover Street,,,,,,B
122807516,214086856,0,450547582,,secondary,4,False,False,145.42124832371303,35 mph,"LINESTRING (-118.2841624 34.0491165, -118.2841591 34.0478087)",145.42124832371303,1.6203012715463947,0.0168578204301361,South Hoover Street,,,,,,B
